index,sigma_fcs,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max
"(1, 9, 8, 10, 1, 12, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.5611111111111111,0.0,0.0,1.0,false,5.947645595318737,1.0449896266517465e6,38.1632631983258,1.2708983237812495,7,6.205027915155222,9.473363952319716,25.14600000000001,5.903312979948137,41.42675775402202,31.24200000000001,0.0,50.179277214528376,3.991495601602315e7
"(1, 9, 8, 10, 1, 13, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.5972222222222222,0.0,0.0,1.0,false,6.011391172161748,1.0533188928050352e6,38.616110604071714,1.2842360528957508,7,7.848117748750088,9.508592333777559,25.14600000000001,5.926752875781956,41.59124825110145,31.24200000000001,0.0,50.28666212180284,4.033401575989791e7
"(1, 9, 8, 10, 1, 14, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.6333333333333333,0.0,0.0,1.0,false,6.091144600583663,1.063855962517767e6,39.19151322153058,1.3009289274979734,7,10.018630478169575,9.55295723532162,25.14600000000001,5.956271934785981,41.798399542357764,31.24200000000001,0.0,50.4210748884474,4.085837345513282e7
"(1, 9, 8, 10, 1, 15, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.6694444444444444,0.0,0.0,1.0,false,6.193234037157563,1.0775230620374328e6,39.94201680925377,1.3223050745975615,7,12.968628107132453,9.610171239028348,25.14600000000001,5.994340396396294,42.0655466413775,31.24200000000001,0.0,50.59322104848395,4.1529683344568186e7
"(1, 9, 8, 10, 1, 16, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.7055555555555556,0.0,0.0,1.0,false,6.328349789492343,1.0959438586703986e6,40.96096728829365,1.3506125279522465,7,17.1298135532844,9.686708487704978,25.14600000000001,6.045265958745338,42.422919008739214,31.24200000000001,0.0,50.82122439773887,4.241834738754054e7
"(1, 9, 8, 10, 1, 17, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.7416666666666667,0.0,0.0,1.0,false,6.514300165983262,1.121814953079905e6,42.406312853112496,1.3895950223725324,7,23.2931333592773,9.793114871044585,25.14600000000001,6.116065536765073,42.91975815273736,31.24200000000001,0.0,51.135276863259556,4.3641732241594896e7
"(1, 9, 8, 10, 1, 18, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.7777777777777778,0.0,0.0,1.0,false,6.785541166022273,1.1605284760390692e6,44.59996111217111,1.4465074115715613,7,33.06517363615266,9.950061608364022,25.14600000000001,6.2204931324134165,43.65258338535731,31.24200000000001,0.0,51.59390344486453,4.542732423337354e7
"(1, 9, 8, 10, 1, 19, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.8138888888888889,0.0,0.0,1.0,false,7.218348445649614,1.2244624038244826e6,48.30227107883401,1.5374383557933373,7,50.21796275812371,10.203603115159817,25.14600000000001,6.3891919560012775,44.83643477895634,31.24200000000001,0.0,52.326941419827314,4.827773430386097e7
"(1, 9, 8, 10, 1, 20, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.85,0.0,0.0,1.0,false,8.026815917224274,1.35006537365266e6,55.85618183688577,1.7076705830327974,7,85.98608751949823,10.683068598565995,25.14600000000001,6.708213736789046,47.07518411781788,31.24200000000001,0.0,53.700002229390385,5.360569812600045e7
"(1, 9, 8, 10, 2, 1, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.2,0.0,0.0,1.0,false,5.682899519237336,1.0067150963846238e6,36.08801911744672,1.214272090672056,7,0.313936326884561,9.309740012810273,25.14600000000001,9.738893252141635,40.66275492362774,31.24200000000001,0.0,49.72349320215137,1.907969903770773e7
"(1, 9, 8, 10, 2, 2, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,4,0.2361111111111111,0.0,0.0,1.0,false,5.693158306541736,1.0078984515085209e6,36.15105757761546,1.216407256126818,7,0.44971776142800474,9.314850899290201,25.14600000000001,9.754520942725014,40.686618985012615,31.24200000000001,0.0,49.74067523906593,1.911336374160629e7
