index,sigma_fcs,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max
"(1, 9, 8, 10, 1, 1, 1, 7, 2, 1)",1500.0,nacelle,2.54,10.1,1.0,2,0.2,0.0,0.0,1.0,false,6.1721222557470785,1.1376624746103128e6,43.29317258604345,1.3214290920911433,7,0.5021775681975189,9.856676852284075,25.14600000000001,6.158357749963335,43.21654561377779,31.24200000000001,0.0,50.58616609490182,4.1422161328588784e7
"(1, 9, 8, 10, 1, 2, 1, 7, 2, 1)",1500.0,nacelle,2.54,10.1,1.0,2,0.2361111111111111,0.0,0.0,1.0,false,6.183650754932258,1.1391499091001018e6,43.37739771152549,1.3238408452912844,7,0.7194458381196861,9.862718771324321,25.14600000000001,6.162377859519296,43.24475690890734,31.24200000000001,0.0,50.60558987104951,4.149795204571909e7
"(1, 9, 8, 10, 1, 3, 1, 7, 2, 1)",1500.0,nacelle,2.54,10.1,1.0,2,0.2722222222222222,0.0,0.0,1.0,false,6.197653821185224,1.1409611157104988e6,43.48002929143039,1.3267705308906785,7,0.9882050041767437,9.870070449347274,25.14600000000001,6.167269442950911,43.27908381018183,31.24200000000001,0.0,50.62918536871317,4.159001357916549e7
"(1, 9, 8, 10, 1, 4, 1, 7, 2, 1)",1500.0,nacelle,2.54,10.1,1.0,2,0.3,0.0,0.0,1.0,false,6.210301806814631,1.1426012467291942e6,43.57303467355644,1.3294168986378103,7,1.2354525151756584,9.876722532981054,25.14600000000001,6.171695537508794,43.31014412286873,31.24200000000001,0.0,50.65049949178134,4.167316803870863e7
"(1, 9, 8, 10, 1, 5, 1, 7, 2, 1)",1500.0,nacelle,2.54,10.1,1.0,2,0.30833333333333335,0.0,0.0,1.0,false,6.214442764370866,1.1431390760777157e6,43.60354724690734,1.3302833600495438,7,1.3173154320031597,9.878902826988446,25.14600000000001,6.173146238968966,43.32032448399275,31.24200000000001,0.0,50.65747813931251,4.17003930125983e7
"(1, 9, 8, 10, 1, 6, 1, 7, 2, 1)",1500.0,nacelle,2.54,10.1,1.0,2,0.34444444444444444,0.0,0.0,1.0,false,6.234418872371447,1.1457394946748973e6,43.751175250437235,1.3344636794524651,7,1.718434698581012,9.889437236352281,25.14600000000001,6.180155515238289,43.36951238763712,31.24200000000001,0.0,50.69114778096871,4.183173163364115e7
"(1, 9, 8, 10, 1, 7, 1, 7, 2, 1)",1500.0,nacelle,2.54,10.1,1.0,2,0.38055555555555554,0.0,0.0,1.0,false,6.2580987972063395,1.1488344730394247e6,43.92709354254367,1.3394197517239808,7,2.206980797057881,9.901959273493134,25.14600000000001,6.188487298705547,43.4279810435477,31.24200000000001,0.0,50.731066790000604,4.1987427703155406e7
"(1, 9, 8, 10, 1, 8, 1, 7, 2, 1)",1500.0,nacelle,2.54,10.1,1.0,2,0.4166666666666667,0.0,0.0,1.0,false,6.28615431765648,1.1525184274175407e6,44.13679144665508,1.3452925115110657,7,2.8035447328441174,9.916841886902896,25.14600000000001,6.198389737978191,43.49747184546099,31.24200000000001,0.0,50.7783709973881,4.2171902263443984e7
"(1, 9, 8, 10, 1, 9, 1, 7, 2, 1)",1500.0,nacelle,2.54,10.1,1.0,2,0.4527777777777778,0.0,0.0,1.0,false,6.3194680312547735,1.1569163208400763e6,44.3875588216562,1.3522671952384284,7,3.536000225220971,9.934577103093437,25.14600000000001,6.210190212564117,43.5802821934324,31.24200000000001,0.0,50.834553325420906,4.2390963031645276e7
"(1, 9, 8, 10, 1, 10, 1, 7, 2, 1)",1500.0,nacelle,2.54,10.1,1.0,2,0.4888888888888889,0.0,0.0,1.0,false,6.3592168740034385,1.1621962350937258e6,44.68923621499034,1.3605908486352551,7,4.442734089649391,9.955824003908143,25.14600000000001,6.224327255518648,43.679489512411564,31.24200000000001,0.0,50.901605101633855,4.2652355081467055e7
