index,sigma_fcs,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max
"(1, 9, 8, 10, 1, 1, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.2,0.0,0.0,1.0,false,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085,35.29382672340351,31.24200000000001,0.0,48.09536187943791,3.1826930153984502e7
"(1, 9, 8, 10, 1, 2, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.2361111111111111,0.0,0.0,1.0,false,4.736683954093132,758421.798119206,23.73388578653428,1.013485654567435,7,0.4856771708534328,8.164663884301726,25.14600000000001,5.032543673990643,35.31609595782908,31.24200000000001,0.0,48.10944534368995,3.1882111232400205e7
"(1, 9, 8, 10, 1, 3, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.2722222222222222,0.0,0.0,1.0,false,4.746891169663088,759588.0660011653,23.787943577403837,1.0156144611191589,7,0.666989627749298,8.170461346319422,25.14600000000001,5.036401129263117,35.3431658193903,31.24200000000001,0.0,48.12653673767583,3.194907707460784e7
"(1, 9, 8, 10, 1, 4, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.3,0.0,0.0,1.0,false,4.756101861078885,760643.064209552,23.836878518815233,1.017535447178612,7,0.8337333341454904,8.175701795697819,25.14600000000001,5.039887965230845,35.36763484372523,31.24200000000001,0.0,48.14196008569035,3.2009506694034673e7
"(1, 9, 8, 10, 1, 5, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.30833333333333335,0.0,0.0,1.0,false,4.759115678975885,760988.8015114316,23.852922319251967,1.0181640201368274,7,0.8889298677741103,8.177418358815872,25.14600000000001,5.041030114231574,35.375649924432096,31.24200000000001,0.0,48.147006912339045,3.2029280320242062e7
"(1, 9, 8, 10, 1, 6, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.34444444444444444,0.0,0.0,1.0,false,4.7736413160778,762658.7525924059,23.930465421031066,1.0211935240790662,7,1.1593018436507656,8.18570398436839,25.14600000000001,5.046543118003871,35.414337670202606,31.24200000000001,0.0,48.17133152819655,3.2124584153946478e7
"(1, 9, 8, 10, 1, 7, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.38055555555555554,0.0,0.0,1.0,false,4.7908333039990225,764642.9167844288,24.02270578351548,1.024779196839194,7,1.4884148488921032,8.195536642157611,25.14600000000001,5.053085470073743,35.4602489127982,31.24200000000001,0.0,48.200123154435836,3.2237387870976802e7
"(1, 9, 8, 10, 1, 8, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.4166666666666667,0.0,0.0,1.0,false,4.81116417295024,766999.8678748959,24.132427217152276,1.02901959146336,7,1.890016626278164,8.207199860241873,25.14600000000001,5.060845821406072,35.5147075186391,31.24200000000001,0.0,48.234173899366745,3.2370794063746545e7
"(1, 9, 8, 10, 1, 9, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.4527777777777778,0.0,0.0,1.0,false,4.835252272533601,769806.8437675196,24.263311811502113,1.0340437075148359,7,2.382684689978695,8.221066308224405,25.14600000000001,5.070072135044254,35.57945357925792,31.24200000000001,0.0,48.2745206800818,3.2528864120631125e7
"(1, 9, 8, 10, 1, 10, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.4888888888888889,0.0,0.0,1.0,false,4.86391811134417,773167.2002741591,24.4203044724805,1.040022720445689,7,2.991949076084787,8.23763279796918,25.14600000000001,5.081094974524241,35.656806838766606,31.24200000000001,0.0,48.322539617890634,3.271698787475829e7
"(1, 9, 8, 10, 1, 11, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.525,0.0,0.0,1.0,false,4.8982699327259365,777221.8587115051,24.610175840887777,1.0471878259970473,7,3.7536237132492407,8.257573719498648,25.14600000000001,5.094363058499102,35.7499161999937,31.24200000000001,0.0,48.38008962467993,3.2942445408468995e7
"(1, 9, 8, 10, 1, 12, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.5611111111111111,0.0,0.0,1.0,false,4.9398415012285195,782168.2462885588,24.842457645368494,1.0558613575427385,7,4.719215751942876,8.281829047863157,25.14600000000001,5.1105018178389106,35.86317065150113,31.24200000000001,0.0,48.449762795990104,3.3215315308361724e7
"(1, 9, 8, 10, 1, 13, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.5972222222222222,0.0,0.0,1.0,false,4.990800750075397,788288.2581046196,25.130842797916696,1.0664941197320081,7,5.965027039602116,8.311732316758576,25.14600000000001,5.130398545391893,36.00279680976767,31.24200000000001,0.0,48.53518474833222,3.3549844241226252e7
"(1, 9, 8, 10, 1, 14, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.6333333333333333,0.0,0.0,1.0,false,5.054326712912919,796001.2940675048,25.49584984219228,1.0797491948705464,7,7.608250721137255,8.34925291093374,25.14600000000001,5.155363609998714,36.17799024560502,31.24200000000001,0.0,48.64169084304128,3.396692797147481e7
"(1, 9, 8, 10, 1, 15, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.6694444444444444,0.0,0.0,1.0,false,5.135269422141331,805957.6421365356,25.969572582791685,1.0966387707775946,7,9.837009946817993,8.397416161436434,25.14600000000001,5.187409975119184,36.402877018380245,31.24200000000001,0.0,48.7774259557141,3.449845405027359e7
"(1, 9, 8, 10, 1, 16, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.7055555555555556,0.0,0.0,1.0,false,5.241412135417211,819220.7338828131,26.605078332606524,1.1187873580850942,7,12.970426350611676,8.461112388935678,25.14600000000001,5.229791511704285,36.70029131020551,31.24200000000001,0.0,48.95546682758688,3.519561021766804e7
"(1, 9, 8, 10, 1, 17, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.7416666666666667,0.0,0.0,1.0,false,5.3860938744067095,837654.5847841622,27.496721619837356,1.148979710126929,7,17.58966531003456,8.548785765873662,25.14600000000001,5.288126715814771,37.10966116361243,31.24200000000001,0.0,49.19823786865768,3.614615240021351e7
"(1, 9, 8, 10, 1, 18, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.7777777777777778,0.0,0.0,1.0,false,5.594293003034677,864847.3782669422,28.829643037174797,1.1924319171306075,7,24.858544012312066,8.676366605224347,25.14600000000001,5.373015134215422,37.70536936291525,31.24200000000001,0.0,49.54776020220445,3.751448608418061e7
"(1, 9, 8, 10, 1, 19, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.8138888888888889,0.0,0.0,1.0,false,5.919116797211893,908700.8831510928,31.022765386248956,1.2602417291315846,7,37.443664327754625,8.877947101007651,25.14600000000001,5.507140678102366,38.64660124984117,31.24200000000001,0.0,50.09348633067033,3.965039252226573e7
"(1, 9, 8, 10, 1, 20, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,2,0.85,0.0,0.0,1.0,false,6.4987178312466884,990770.7590322772,35.267792201171055,1.381333692570873,7,62.8860505761483,9.24251250001382,25.14600000000001,5.749711429970285,40.348852140142355,31.24200000000001,0.0,51.06871553654377,4.346571991651599e7
"(1, 9, 8, 10, 2, 1, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,4,0.2,0.0,0.0,1.0,false,4.728518565958739,753507.2258264873,23.50094501480814,1.0108645611882847,7,0.23947366054583055,8.140291023301549,25.14600000000001,8.610385526493037,35.202292715804894,31.24200000000001,0.0,48.08840199996434,1.5907748058381474e7
"(1, 9, 8, 10, 2, 2, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,4,0.2361111111111111,0.0,0.0,1.0,false,4.7369456250362765,754401.9410170234,23.54225704740748,1.012618320674527,7,0.3430339490072928,8.14475477078344,25.14600000000001,8.624467766833812,35.223135116498554,31.24200000000001,0.0,48.102481668905234,1.5935357954033649e7
"(1, 9, 8, 10, 2, 3, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,4,0.2722222222222222,0.0,0.0,1.0,false,4.7471676864656605,755489.4115538411,23.59250100081192,1.0147456435850846,7,0.47109644389272004,8.150176541096334,25.14600000000001,8.641434699624764,35.24845077554709,31.24200000000001,0.0,48.11956092315332,1.5968849429975048e7
"(1, 9, 8, 10, 2, 4, 1, 7, 2, 1)",4000.0,nacelle,2.54,10.1,1.0,4,0.3,0.0,0.0,1.0,false,4.756387774831972,756472.324717408,23.6379440404,1.0166644651964383,7,0.5888688475380511,8.155073591098525,25.14600000000001,8.65663351517922,35.27131637867016,31.24200000000001,0.0,48.13496671028495,1.5999058816619491e7
