index,sigma_fcs,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max
"(1, 9, 8, 10, 1, 1, 1, 7, 2, 1)",2333.0,nacelle,2.54,10.1,1.0,2,0.2,0.0,0.0,1.0,false,5.48902193659813,960557.3871325231,33.67723396157929,1.1737541574054675,7,0.42235381704102926,9.10847926861848,25.14600000000001,5.660529785734475,39.72301604024194,31.24200000000001,0.0,49.39750158806242,3.688737325476391e7
"(1, 9, 8, 10, 1, 2, 1, 7, 2, 1)",2333.0,nacelle,2.54,10.1,1.0,2,0.2361111111111111,0.0,0.0,1.0,false,5.498968498794385,961770.8202593324,33.74042193257944,1.175831261438561,7,0.6050328710275693,9.113842284961862,25.14600000000001,5.664098174040772,39.74805736168963,31.24200000000001,0.0,49.41421016700223,3.695270910340918e7
"(1, 9, 8, 10, 1, 3, 1, 7, 2, 1)",2333.0,nacelle,2.54,10.1,1.0,2,0.2722222222222222,0.0,0.0,1.0,false,5.511044497697591,963247.6186712635,33.817376654092826,1.1783532028309076,7,0.8309616699062335,9.120364646421747,25.14600000000001,5.668437955401239,39.778511967727994,31.24200000000001,0.0,49.43449754246657,3.7032034842745766e7
"(1, 9, 8, 10, 1, 4, 1, 7, 2, 1)",2333.0,nacelle,2.54,10.1,1.0,2,0.3,0.0,0.0,1.0,false,5.52194671941204,964584.2005571267,33.88707433258681,1.1806301355964086,7,1.0387647502340653,9.126263342166276,25.14600000000001,5.672362768523087,39.80605451595149,31.24200000000001,0.0,49.45281440291526,3.710365169710594e7
"(1, 9, 8, 10, 1, 5, 1, 7, 2, 1)",2333.0,nacelle,2.54,10.1,1.0,2,0.30833333333333335,0.0,0.0,1.0,false,5.525515093433074,965022.3565564599,33.90993274421919,1.1813754250146156,7,1.1075589224397433,9.128196136149173,25.14600000000001,5.673648790978633,39.81507923493778,31.24200000000001,0.0,49.45880999543218,3.712709294389819e7
"(1, 9, 8, 10, 1, 6, 1, 7, 2, 1)",2333.0,nacelle,2.54,10.1,1.0,2,0.34444444444444444,0.0,0.0,1.0,false,5.542720996745224,967139.691857213,34.020464436764456,1.184969195385704,7,1.4445794004898582,9.137529835431094,25.14600000000001,5.679859151201233,39.8586607101841,31.24200000000001,0.0,49.487721209718366,3.724012299774323e7
"(1, 9, 8, 10, 1, 7, 1, 7, 2, 1)",2333.0,nacelle,2.54,10.1,1.0,2,0.38055555555555554,0.0,0.0,1.0,false,5.563101078172963,969657.4903556926,34.15205510671663,1.189226344697973,7,1.8549160095508455,9.148615340206105,25.14600000000001,5.687235109631299,39.91042182197403,31.24200000000001,0.0,49.521970449021744,3.737401053144523e7
"(1, 9, 8, 10, 1, 8, 1, 7, 2, 1)",2333.0,nacelle,2.54,10.1,1.0,2,0.4166666666666667,0.0,0.0,1.0,false,5.5872244099399015,972651.271417808,34.30873949817988,1.1942659446643427,7,2.3557727923581844,9.161777488865079,25.14600000000001,5.695992803875208,39.97187932544006,31.24200000000001,0.0,49.56251634428697,3.753249677708797e7
"(1, 9, 8, 10, 1, 9, 1, 7, 2, 1)",2333.0,nacelle,2.54,10.1,1.0,2,0.4527777777777778,0.0,0.0,1.0,false,5.615837256914049,976220.8239905428,34.49586547636546,1.2002442512803055,7,2.9704155340961687,9.177444129212018,25.14600000000001,5.70641691087648,40.04503095351916,31.24200000000001,0.0,49.610616996285124,3.772048882594004e7
"(1, 9, 8, 10, 1, 10, 1, 7, 2, 1)",2333.0,nacelle,2.54,10.1,1.0,2,0.4888888888888889,0.0,0.0,1.0,false,5.649932432660464,980500.0303617363,34.720634014295236,1.2073693047528462,7,3.730846918357175,9.19618711671334,25.14600000000001,5.718887925906541,40.13254684846696,31.24200000000001,0.0,49.66794761687441,3.794451503962674e7
"(1, 9, 8, 10, 1, 11, 1, 7, 2, 1)",2333.0,nacelle,2.54,10.1,1.0,2,0.525,0.0,0.0,1.0,false,5.690854184129172,985671.8210929219,34.99292637005774,1.2159223515494066,7,4.682011837950674,9.218784322943346,25.14600000000001,5.733923421102382,40.23805909545532,31.24200000000001,0.0,49.736773152797056,3.821341546309162e7
"(1, 9, 8, 10, 1, 12, 1, 7, 2, 1)",2333.0,nacelle,2.54,10.1,1.0,2,0.5611111111111111,0.0,0.0,1.0,false,5.740465650624737,991992.5046979438,35.32665698912868,1.2262936434097584,7,5.888636116421446,9.246319943706911,25.14600000000001,5.752244787447011,40.366630087347446,31.24200000000001,0.0,49.82023679305798,3.8539444991604805e7
"(1, 9, 8, 10, 1, 13, 1, 7, 2, 1)",2333.0,nacelle,2.54,10.1,1.0,2,0.5972222222222222,0.0,0.0,1.0,false,5.801420047581411,999831.5071947918,35.742002097224486,1.2390390836796275,7,7.446787717440443,9.280346877975017,25.14600000000001,5.774885276784933,40.52551071428024,31.24200000000001,0.0,49.92281658653104,3.894005738811901e7
"(1, 9, 8, 10, 1, 14, 1, 7, 2, 1)",2333.0,nacelle,2.54,10.1,1.0,2,0.6333333333333333,0.0,0.0,1.0,false,5.877625035467928,1.0097404814008607e6,36.26931011520139,1.254977732852329,7,9.504366353055234,9.323166457825641,25.14600000000001,5.80337612563496,40.72544649568393,31.24200000000001,0.0,50.05111154613015,3.944096334216392e7
