index,sigma_fcs,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
"(1, 13, 9, 10, 1, 1, 1, 7, 2, 1)",2667.0,nacelle,2.25,10.970703472840606,1.0,2,0.2,0.0,0.0,1.0,false,3.7720842671015578,508840.4303511881,14.611774125635314,1.1424637841320542,6,0.2838687660917768,7.862034313414347,18.389599999999994,5.636852609691682,32.21058634109533,22.638636712229886,0.0,37.371229398782205,2.473278443463804e7,117725.93966246057,81226.89754173295,6447.76326358547,4340.189022924487,25743.69872822424,184.91007058252245,4881.873745112307,5679.090084883966,12879.876394193709,22054.48255075332,59.710204421496506,1.1333068944532532,1.2068749263498308,0.8756935707305892,0.17293493591720785,0.13538604522118702
"(1, 13, 9, 10, 1, 2, 1, 7, 2, 1)",2667.0,nacelle,2.25,10.970703472840606,1.0,2,0.2361111111111111,0.0,0.0,1.0,false,3.7795842463397955,509507.4056308976,14.640262586339016,1.1446306313574082,6,0.406737757461767,7.866773967014545,18.389599999999994,5.64053900693628,32.23165146820732,22.638636712229886,0.0,37.380394898938604,2.478037744738982e7,117762.5265686537,81364.38981329848,6462.08268388057,4349.689587425284,25751.658347340937,186.1890390871287,4900.580363111833,5683.3849248995,12905.04317103952,22093.76707450734,59.78832869546346,1.1335580162918262,1.2084094384986999,0.8767026410416705,0.1731741904851925,0.13556872189791522
"(1, 13, 9, 10, 1, 3, 1, 7, 2, 1)",2667.0,nacelle,2.25,10.970703472840606,1.0,2,0.2722222222222222,0.0,0.0,1.0,false,3.788687810047375,510319.1138281161,14.67495824756882,1.1472607437086504,6,0.5587663692578873,7.872537855665811,18.389599999999994,5.645022031442822,32.25726875110184,22.638636712229886,0.0,37.3915209896161,2.4838148603721734e7,117807.05043314376,81531.74770769365,6479.450209086305,4361.257079358338,25761.31697481048,187.74938819634366,4923.378225592762,5688.602289049093,12935.67933155298,22141.59250089036,59.88340438122555,1.133863087628754,1.2102768684125575,0.8779301599408028,0.1734641085897309,0.13579093505986556
"(1, 13, 9, 10, 1, 4, 1, 7, 2, 1)",2667.0,nacelle,2.25,10.970703472840606,1.0,2,0.3,0.0,0.0,1.0,false,3.7969046740036916,511053.73935971403,14.706382941904343,1.1496346502629493,6,0.6986641610127553,7.877750359658268,18.389599999999994,5.649076201214732,32.28043543551276,22.638636712229886,0.0,37.40156422943443,2.4890294838865425e7,117847.34477752708,81683.24202983457,6495.113275571285,4371.73115141775,25770.032188737812,189.1651889438728,4944.041449857926,5693.315453849237,12963.414141018062,22184.891692190846,59.96944998604186,1.1341386908595998,1.211966895631812,0.8790406266380995,0.17372532529177265,0.13599194864416153
"(1, 13, 9, 10, 1, 5, 1, 7, 2, 1)",2667.0,nacelle,2.25,10.970703472840606,1.0,2,0.30833333333333335,0.0,0.0,1.0,false,3.7995937067612946,511294.5551188607,14.716689120284514,1.150411523190914,6,0.7449915257498965,7.879458226900984,18.389599999999994,5.6504045424035105,32.28802595659149,22.638636712229886,0.0,37.40485112921951,2.490736051419871e7,117860.55341962758,81732.9092306221,6500.236480881616,4375.165686223277,25772.883767675132,189.63004724555356,4950.821297431955,5694.858691119225,12972.507497722414,22199.088700376986,59.997656104487845,1.1342289356092268,1.2125208859475851,0.8794045475335591,0.17381071516110388,0.1360578224558893
"(1, 13, 9, 10, 1, 6, 1, 7, 2, 1)",2667.0,nacelle,2.25,10.970703472840606,1.0,2,0.34444444444444444,0.0,0.0,1.0,false,3.812557105991696,512458.25271995185,14.766526062883926,1.1541566559652774,6,0.9720423346770637,7.887705413276753,18.389599999999994,5.656819020695775,32.324680118261576,22.638636712229886,0.0,37.420697912571654,2.4989634202534605e7,117924.3818374071,81972.96137955623,6524.916169031841,4391.769838663827,25786.627048519604,191.8815796480684,4983.627551455202,5702.304026550639,13016.46137578547,22267.715564875492,60.13395505705091,1.1346643531722747,1.2151978502213454,0.8811624536660806,0.17422170680658816,0.1363760082166794
"(1, 13, 9, 10, 1, 7, 1, 7, 2, 1)",2667.0,nacelle,2.25,10.970703472840606,1.0,2,0.38055555555555554,0.0,0.0,1.0,false,3.8279064710204898,513841.96985883923,14.8258594249917,1.1585909599686497,6,1.2486897648221635,7.897499500790995,18.389599999999994,5.664436644317964,32.36820939610265,22.638636712229886,0.0,37.43946369949068,2.508705667238015e7,118000.28125857073,82258.49948378454,6554.098425620462,4411.529422422973,25802.891858727573,194.56996341302792,5022.731444515848,5711.131698347211,13068.75191979389,22349.366455201256,60.2960200850419,1.1351807015057884,1.218380754657605,0.8832513040433224,0.17470693200428025,0.13675406140917815
"(1, 13, 9, 10, 1, 8, 1, 7, 2, 1)",2667.0,nacelle,2.25,10.970703472840606,1.0,2,0.4166666666666667,0.0,0.0,1.0,false,3.84606734800342,515487.1394216808,14.896507714558561,1.1638370906417557,6,1.5866516350000786,7.909126717685164,18.389599999999994,5.6734800352356505,32.41988591563229,22.638636712229886,0.0,37.461669110283864,2.5202331973114736e7,118090.53098837352,82598.13585228309,6588.568967939978,4435.045576132578,25822.12418069391,197.78201786927525,5069.358854255784,5721.592701602138,13130.960889518485,22446.51466274634,60.48870147261514,1.1357927516876811,1.2221647938144784,0.8857328868827549,0.1752790496837887,0.1372031426845903
"(1, 13, 9, 10, 1, 9, 1, 7, 2, 1)",2667.0,nacelle,2.25,10.970703472840606,1.0,2,0.4527777777777778,0.0,0.0,1.0,false,3.8675977764362774,517448.5518148802,14.980883630780477,1.1700564195553622,6,2.001796170188579,7.922964356823882,18.389599999999994,5.684242643454653,32.48138653402659,22.638636712229886,0.0,37.487999364706894,2.533900677510008e7,118198.1534487699,83003.27911020456,6629.355627408641,4463.11522037661,25844.91015784491,201.63363824467223,5125.142153518191,5734.01811196407,13205.184701975806,22562.437058889423,60.71841363565877,1.1365200584249726,1.2266758514880955,0.8886888160332004,0.17595455645538757,0.1377379874087344
"(1, 13, 9, 10, 1, 10, 1, 7, 2, 1)",2667.0,nacelle,2.25,10.970703472840606,1.0,2,0.4888888888888889,0.0,0.0,1.0,false,3.8932392326430065,519799.63479713496,15.082232847677453,1.177463013022398,6,2.5159836518344973,7.939516050765061,18.389599999999994,5.697116183186683,32.55494961820962,22.638636712229886,0.0,37.51936379915118,2.5501793899094902e7,118327.20700162549,83489.2442913831,6677.81655168438,4496.809546421246,25872.026577211876,206.28196734680546,5192.286143445414,5748.8490862130675,13294.238954646682,22701.534437075792,60.99375235821504,1.137388772885289,1.2320826061401111,0.8922283186072852,0.17675515045988316,0.13837830614235783
