index,sigma_fcs,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
"(1, 13, 9, 10, 1, 1, 1, 7, 2, 1)",1833.0,nacelle,2.25,10.970703472840606,1.0,2,0.2,0.0,0.0,1.0,false,4.070209220472105,576821.3558939202,17.630002288072568,1.2299567588717983,6,0.3175837868071714,8.32905291386684,18.389599999999994,6.000089298932512,34.28622456532864,22.638636712229886,0.0,37.741885796556105,2.6664604083542224e7,120803.84905322333,94204.1012726532,6560.570213902998,5208.076346315565,26019.711642789534,347.63887913667975,6937.420649073625,5887.337026612102,15231.863949089673,25982.850109985946,67.65355580595185,1.143646254152392,1.3633723995969498,0.9711665567816364,0.17481443184592432,0.15149370957273461
"(1, 13, 9, 10, 1, 2, 1, 7, 2, 1)",1833.0,nacelle,2.25,10.970703472840606,1.0,2,0.2361111111111111,0.0,0.0,1.0,false,4.078372224340006,577567.2364732556,17.663874930755707,1.2323186603384972,6,0.4550594931481264,8.33403258020498,18.389599999999994,6.0039623727510625,34.30835641572036,22.638636712229886,0.0,37.75190688672923,2.6716430969178017e7,120848.71973643068,94364.56851776071,6575.284572692197,5219.228773382838,26028.380836120356,349.3633063929547,6962.078987097643,5892.239169947516,15261.433707702485,26028.611849242137,67.74092510074139,1.1439330599302784,1.3650874109903075,0.9722861515041195,0.17505869757624104,0.1516936769254644
"(1, 13, 9, 10, 1, 3, 1, 7, 2, 1)",1833.0,nacelle,2.25,10.970703472840606,1.0,2,0.2722222222222222,0.0,0.0,1.0,false,4.088283476639356,578475.2574452857,17.70514025325327,1.235186817297516,6,0.625172810365778,8.340090297367937,18.389599999999994,6.008673930544474,34.33527960311128,22.638636712229886,0.0,37.764076899776626,2.6779359530125123e7,120903.3498668722,94559.96112536694,6593.141487479925,5232.811537833678,26038.90571527965,351.4673606396584,6992.137145555767,5898.197539720184,15297.442393780757,26084.34109232374,67.84728503269065,1.1442821163077013,1.3671752142014895,0.9736486544935371,0.17535485731864342,0.1519370000263837
"(1, 13, 9, 10, 1, 4, 1, 7, 2, 1)",1833.0,nacelle,2.25,10.970703472840606,1.0,2,0.3,0.0,0.0,1.0,false,4.097231931142237,579297.2858828004,17.742525480889974,1.2377765093764408,6,0.781723519242422,8.34557014464703,18.389599999999994,6.012936033983769,34.35963447990726,22.638636712229886,0.0,37.775066274480466,2.6836177032741733e7,120952.81108853305,94736.89014569164,6609.254817598685,5245.113736940486,26048.40637635448,353.3766772455676,7019.385996138839,5903.582733236487,15330.051395150633,26134.81141844267,67.94357073857662,1.144598044630758,1.3690652782373591,0.9748816872636661,0.1756218425487612,0.15215717411022264
"(1, 13, 9, 10, 1, 5, 1, 7, 2, 1)",1833.0,nacelle,2.25,10.970703472840606,1.0,2,0.30833333333333335,0.0,0.0,1.0,false,4.100160916293223,579566.8019309004,17.754788624530647,1.2386241782378349,6,0.8335679110691327,8.347365942007897,18.389599999999994,6.014332765264443,34.36761580151111,22.638636712229886,0.0,37.77866355227538,2.6854774847458262e7,120969.0288447913,94794.90785500486,6614.527079936148,5249.148422254658,26051.51568141326,354.0036145418228,7028.327728072606,5905.346537214025,15340.744989221399,26151.36287873767,67.97513932070066,1.1447016177573959,1.3696849643471158,0.9752858682210148,0.175709147016556,0.15222934028686425
"(1, 13, 9, 10, 1, 6, 1, 7, 2, 1)",1833.0,nacelle,2.25,10.970703472840606,1.0,2,0.34444444444444444,0.0,0.0,1.0,false,4.114284778244808,580869.5186676332,17.81410307604097,1.2427118204416194,6,1.0876749601981701,8.35604000081949,18.389599999999994,6.021079255451239,34.40616717400708,22.638636712229886,0.0,37.796011706893815,2.694445814433027e7,121047.4265862737,95075.39955001211,6639.9370551925185,5268.658682437657,26066.506063218574,357.0404307223486,7071.601895983505,5913.85956120582,15392.44836393009,26231.39234785056,68.12772509825355,1.1452022386576417,1.372680217111738,0.9772388748335926,0.17612955220698226,0.15257800992419882
"(1, 13, 9, 10, 1, 7, 1, 7, 2, 1)",1833.0,nacelle,2.25,10.970703472840606,1.0,2,0.38055555555555554,0.0,0.0,1.0,false,4.1310163541797875,582419.2720523666,17.88475177975019,1.2475543916370666,6,1.397327843288892,8.36634603214359,18.389599999999994,6.029095057592204,34.45197175766974,22.638636712229886,0.0,37.81656659004082,2.705070606927187e7,121140.7128308978,95409.21643598688,6670.0092958941805,5291.887123343794,26084.2578639675,360.6670736071286,7123.199009715854,5923.960963527132,15453.99050667668,26326.657341722836,68.30924135111869,1.1457979626009063,1.3762434130283097,0.9795609165495343,0.17662631891415062,0.15299248287797715
"(1, 13, 9, 10, 1, 8, 1, 7, 2, 1)",1833.0,nacelle,2.25,10.970703472840606,1.0,2,0.4166666666666667,0.0,0.0,1.0,false,4.150824622477403,584262.9211238978,17.968920184834793,1.2532877437673395,6,1.7756695534194142,8.37858831221226,18.389599999999994,6.038616830978947,34.50638189130827,22.638636712229886,0.0,37.84090635294635,2.7176499778369214e7,121251.72775145907,95806.5367026952,6705.569540622783,5319.547034911849,26105.265370886005,365.0010883554807,7184.7471188878,5935.942849154729,15527.25326319573,26440.072817820008,68.52517383173536,1.146507296635394,1.380482257939842,0.9823214765957068,0.17721266459349944,0.15348511931772785
"(1, 13, 9, 10, 1, 9, 1, 7, 2, 1)",1833.0,nacelle,2.25,10.970703472840606,1.0,2,0.4527777777777778,0.0,0.0,1.0,false,4.174325685210239,586462.4718489955,18.06950944579288,1.2600903606152303,6,2.240506828693953,8.393168161561087,18.389599999999994,6.049956713805815,34.571181221747516,22.638636712229886,0.0,37.86979078055121,2.732575643926784e7,121384.2379288229,96280.8514213206,6747.698460403341,5352.584667634054,26130.177472236137,370.19943906870714,7258.413762801259,5950.190410153856,15614.732207943409,26575.503677275025,68.7827815220027,1.1473553711008486,1.3855392734336036,0.9856123923809003,0.17790581947567477,0.15407225059822302
"(1, 13, 9, 10, 1, 10, 1, 7, 2, 1)",1833.0,nacelle,2.25,10.970703472840606,1.0,2,0.4888888888888889,0.0,0.0,1.0,false,4.202341225778935,589101.2608486114,18.1904332626762,1.2682003140534592,6,2.816386685623139,8.410622874998024,18.389599999999994,6.063532602034543,34.64875772591167,22.638636712229886,0.0,37.90423370599986,2.750370066457074e7,121543.32070787023,96850.32736544189,6797.8312423703455,5392.275499498959,26159.85902484768,376.47529829285065,7347.133641231816,5967.21939876386,15719.7896287712,26738.15529970141,69.0918201122185,1.1483771735312072,1.391606003847901,0.98955691795985,0.17872856148924873,0.15477578615633575
