index,sigma_fcs,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
"(1, 13, 9, 10, 1, 1, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.2,0.0,0.0,1.0,false,3.7356384441411734,500337.2059271813,14.246996501426842,1.1319169712673365,6,0.2798317208884058,7.801484106063104,18.389599999999994,5.589758003974049,31.94147430842314,22.638636712229886,0.0,37.326628823342176,2.4496230112526692e7,117375.19037653344,79660.2005202607,6448.106718020364,4235.15604384442,25711.399095853223,166.57368931748255,4652.27783712092,5656.278914625942,12596.459424640563,21577.362179939326,58.71664230342569,1.1320872631108208,1.1873848119153172,0.8641689304317615,0.17294067682583641,0.1333561488459905
"(1, 13, 9, 10, 1, 2, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.2361111111111111,0.0,0.0,1.0,false,3.743056444966813,500994.71953092073,14.274850585619948,1.1340599942890774,6,0.40095160671018976,7.806195851649513,18.389599999999994,5.5934226949857,31.962415399918292,22.638636712229886,0.0,37.33568977064881,2.4543299601731323e7,117410.81044613264,79794.97211759357,6462.385178034713,4244.462603338398,25719.27144348033,167.80191321347183,4670.295665268152,5660.49958737032,12621.108946671082,21615.87779022107,58.79365776186706,1.1323347325059065,1.1888977108302725,0.8651625917337408,0.17317924256246317,0.1335367832724964
"(1, 13, 9, 10, 1, 3, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.2722222222222222,0.0,0.0,1.0,false,3.7520601029703458,501794.86813942896,14.308771842919441,1.136660918878331,6,0.5508145501570795,7.811925471197024,18.389599999999994,5.597879065744876,31.987880375685005,22.638636712229886,0.0,37.34668781791983,2.4600432701505996e7,117454.15390537369,79959.00795280856,6479.701296111964,4255.793314283118,25728.823158188545,169.30032541826952,4692.253071597732,5665.626307796997,12651.113529927894,21662.76440185713,58.88737880671613,1.1326353149572148,1.1907387264813591,0.8663712726859598,0.17346829788761214,0.1337565003559658
"(1, 13, 9, 10, 1, 4, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.3,0.0,0.0,1.0,false,3.7601864926335296,502519.00191554823,14.339493957084553,1.1390083427517999,6,0.688718061430567,7.817106762958442,18.389599999999994,5.601908959337089,32.01090833906908,22.638636712229886,0.0,37.356614910322286,2.4652001109245e7,117493.37750766701,80107.48821925567,6495.316793172037,4266.0526118372345,25737.441356505853,170.6599146800637,4712.153979632469,5670.257251089647,12678.27533053508,21705.211800129204,58.97219496190666,1.1329068269965819,1.1924047721137383,0.8674646300222518,0.17372871787053187,0.1339552480163747
"(1, 13, 9, 10, 1, 5, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.30833333333333335,0.0,0.0,1.0,false,3.762845862236252,502756.37353017804,14.349569521541888,1.1397765310007961,6,0.7343847202482614,7.818804366790587,18.389599999999994,5.603229317873203,32.018453244989736,22.638636712229886,0.0,37.35986372443601,2.466887734688876e7,117506.23475948571,80156.1661364329,6500.4242195334755,4269.416659775084,25740.261115525955,171.10631604741303,4718.683634148919,5671.773511877344,12687.180612021199,21719.1292175458,58.99999749058812,1.1329957257763283,1.1929508883298527,0.8678229317215366,0.1738138437891473,0.13402037793998559
"(1, 13, 9, 10, 1, 6, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.34444444444444444,0.0,0.0,1.0,false,3.7756658699598717,503903.39131348603,14.398289847318036,1.1434796647497176,6,0.9581952632134615,7.827001718352341,18.389599999999994,5.609605035754566,32.05488591859752,22.638636712229886,0.0,37.37552635422717,2.4750235277065326e7,117568.36225572201,80391.42850979931,6525.026393895669,4285.679588027408,25753.85048629455,173.26844133708764,4750.278691226767,5679.088314660378,12730.223899964554,21786.40231588932,59.13434193071424,1.1334246037268607,1.1955897081166384,0.869553609473003,0.17422354109219826,0.13433496067835876
"(1, 13, 9, 10, 1, 7, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.38055555555555554,0.0,0.0,1.0,false,3.790844646341694,505267.2026654664,14.456290929258214,1.1478640077047404,6,1.2308898460312445,7.836736077159717,18.389599999999994,5.617176203715858,32.09814973551919,22.638636712229886,0.0,37.394073119786626,2.4846568310752347e7,117642.23343806548,80671.25271231464,6554.113885498534,4305.032195829024,25769.93213076757,175.8500550935521,4787.937900226609,5687.760465378535,12781.428149857002,21866.43802257423,59.294074449749445,1.133933102085747,1.1987270665735101,0.8716099345438707,0.17470718871333782,0.1347087131504504
"(1, 13, 9, 10, 1, 8, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.4166666666666667,0.0,0.0,1.0,false,3.8088027652863077,506888.63337521546,14.525350196182082,1.1530509698053286,6,1.5640158226551661,7.848291858012601,18.389599999999994,5.626164033268103,32.14950876153202,22.638636712229886,0.0,37.41601918689521,2.496054885725765e7,117730.06627776375,81004.07689253501,6588.469282916795,4328.0631598366535,25788.947398880162,178.93455981534547,4832.8422862958305,5698.036576926716,12842.342034180447,21961.66012453767,59.4839746315446,1.1345357397015106,1.2024567653009746,0.8740526963388473,0.1752773966969069,0.13515266660768904
"(1, 13, 9, 10, 1, 9, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.4527777777777778,0.0,0.0,1.0,false,3.8300912061255468,508821.5933984977,14.60782227388934,1.15919964721248,6,1.9732094324117528,7.862043355657704,18.389599999999994,5.636859642547627,32.210626528843584,22.638636712229886,0.0,37.44203987402015,2.509567833223093e7,117834.79511135178,81401.05957077163,6629.113623908894,4355.551724272884,25811.47408622547,182.63318408778932,4886.562078079329,5710.240837276011,12915.014387271349,22075.27486655246,59.71035341724188,1.1352516491086404,1.206902648054544,0.8769620721414634,0.17595055296982634,0.13568136274486425
"(1, 13, 9, 10, 1, 10, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.4888888888888889,0.0,0.0,1.0,false,3.85544218018851,511138.3578780969,14.706876050428338,1.1665213493408946,6,2.4800100097660325,7.878490423593352,18.389599999999994,5.649651806497574,32.28372460855757,22.638636712229886,0.0,37.47303249391193,2.5256610457935497e7,117960.36244918634,81877.1873113674,6677.396768513978,4388.545766797028,25838.278807476974,187.09680099072213,4951.219258783321,5724.805666534791,13002.19828576686,22211.590024908943,59.98167162710749,1.1361064232061524,1.2122307297746873,0.8804454141060951,0.17674822479196323,0.13631426148212283
"(1, 13, 9, 10, 1, 11, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.525,0.0,0.0,1.0,false,3.8858467470066915,513937.73233928136,14.826862896466395,1.1753020846205338,6,3.1147177859028843,7.898313254422807,18.389599999999994,5.665069563809373,32.37182607891071,22.638636712229886,0.0,37.51021213069673,2.5449645320099194e7,118112.17386149522,82452.99172519906,6735.135018465501,4428.482824168665,25870.397942964228,192.53444950754485,5029.7421512925885,5742.319030212701,13107.667680891198,22376.509493173762,60.30949526741926,1.137135020950678,1.2186679278534032,0.884649278490983,0.1776992798884487,0.13707790772898135
"(1, 13, 9, 10, 1, 12, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.5611111111111111,0.0,0.0,1.0,false,3.922676664570186,517358.0135394868,14.97390521494401,1.1859377183332,6,3.921048748900497,7.922458705489632,18.389599999999994,5.68384935908357,32.47913919476326,22.638636712229886,0.0,37.555261440014384,2.568350487708291e7,118297.82431773841,83157.28570603204,6804.824390552289,4477.383398592424,25909.263993840486,199.24334613105538,5126.275752416885,5763.599066112265,13236.722351018396,22578.321635557633,60.7100118912153,1.1383864228955005,1.2265317905210025,0.8897784828425155,0.1788431464116639,0.1380093615045916
"(1, 13, 9, 10, 1, 13, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.5972222222222222,0.0,0.0,1.0,false,3.967884251699365,521598.5309149554,15.15688264135444,1.1989926118602532,6,4.964024361972061,7.952282726794372,18.389599999999994,5.707045820098368,32.611690400562104,22.638636712229886,0.0,37.61058083596359,2.5970604616230704e7,118528.3190029542,84031.73922650918,6889.991193005676,4538.174434821872,25956.91608054484,207.65969783306025,5246.8742578222,5789.819038727285,13397.03377971259,22829.01701643584,61.206552516199594,1.139931651728699,1.2362799339628312,0.896127834431212,0.18023513453167445,0.13916188473246066
"(1, 13, 9, 10, 1, 14, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.6333333333333333,0.0,0.0,1.0,false,4.0243408353793395,526956.525335076,15.389136786392461,1.2152950008997838,6,6.343984820006735,7.98979135190228,18.389599999999994,5.736219195182295,32.77839540104169,22.638636712229886,0.0,37.679695431288025,2.632920945321564e7,118820.16671109956,85138.73754886963,6995.761637984355,4615.247838912573,26016.34185151289,218.44867913412978,5400.712766946255,5822.7151217388355,13600.098246200943,23146.555651875864,61.83390530269299,1.14187762569253,1.2485945889518897,0.9041362269548054,0.181954960788407,0.1406146289166157
"(1, 13, 9, 10, 1, 15, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.6694444444444444,0.0,0.0,1.0,false,4.096451268323388,533895.3123222676,15.691656637228938,1.236115501883515,6,8.222954959029808,8.038081300067294,18.389599999999994,5.773778043755085,32.9930173928862,22.638636712229886,0.0,37.768017596344826,2.6787346564086605e7,119199.32202983536,86576.0348444637,7129.899895983757,4715.502343727185,26092.116144816628,232.67500065169168,5602.379503293133,5864.9757162992855,13863.952354897128,23559.089638330224,62.6462917859562,1.1443953237072837,1.2645389191718217,0.9144853304748858,0.1841221436174837,0.14249046927429151
"(1, 13, 9, 10, 1, 16, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.7055555555555556,0.0,0.0,1.0,false,4.191354734601284,543178.9570073321,16.09945742198019,1.2635143315795816,6,10.877942789904777,8.102197806532162,18.389599999999994,5.823646437672204,33.27797964384117,22.638636712229886,0.0,37.88433128605873,2.7390455460423943e7,119709.1033871255,88505.96199365226,7304.781319463326,4850.426174728565,26191.6417753296,252.1525087200255,5876.540601324398,5921.008113847438,14218.595269111689,24113.377982550694,63.733123078188875,1.147785230732429,1.2858657840126093,0.9282957695066337,0.18692485226943403,0.1449910438206933
"(1, 13, 9, 10, 1, 17, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.7416666666666667,0.0,0.0,1.0,false,4.321608527190579,556170.194616891,16.67591088285523,1.3011130296763846,6,14.819623714370541,8.191000957015659,18.389599999999994,5.892715554714924,33.67266031265671,22.638636712229886,0.0,38.04409364099483,2.8218483315053057e7,120428.15541073043,91220.80238831241,7541.615253457195,5040.765113192753,26327.91152066784,280.24809223934295,6268.620602412811,5998.651458803719,14718.155478161758,24893.594531639155,65.25385227835406,1.1527175030743169,1.3157007144817572,0.9475639400446583,0.19068079442132296,0.14847376527885284
"(1, 13, 9, 10, 1, 18, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.7777777777777778,0.0,0.0,1.0,false,4.510039835539646,575470.9767031247,17.54464073715787,1.3555061255659981,6,21.080240303407194,8.321030336999295,18.389599999999994,5.993849516924421,34.25056866813955,22.638636712229886,0.0,38.27549452414452,2.941688624147792e7,121509.44468666815,95285.69354108458,7878.5062016213205,5326.905833274908,26524.45414089975,323.7914671797693,6869.24322821111,6112.626181843829,15467.564116688163,26062.656876924728,67.51291658689122,1.1598555427586061,1.3600102813839823,0.9760968970326906,0.19594847025590242,0.15361601718140364
"(1, 13, 9, 10, 1, 19, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.8138888888888889,0.0,0.0,1.0,false,4.803182656574836,606723.0129521317,18.981908520137058,1.4401634326907635,6,32.0387111469623,8.527020738341072,18.389599999999994,6.154064273523581,35.16608156299189,22.638636712229886,0.0,38.636217394977365,3.1282513154101104e7,123294.84433986002,101949.11127852839,8391.44008042977,5798.829445184154,26829.015602105093,398.8703482010389,7887.446765895519,6294.316155053305,16699.481097831987,27980.75882471679,71.17037515550363,1.1691645193500444,1.4317305127167346,1.0221303544026419,0.20380988781569168,0.16187139609850845
"(1, 13, 9, 10, 1, 20, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,2,0.85,0.0,0.0,1.0,false,5.332424685663567,666095.341444945,21.813065466244247,1.593235150380179,6,54.64888698153753,8.904212271655098,18.389599999999994,6.447435466101155,36.84248837772088,22.638636712229886,0.0,39.28989414012603,3.4653713193372265e7,126826.4223656371,114902.05578875559,9281.524442783739,6724.353762813105,27376.894089961752,556.6969318508565,9976.968357344276,6635.290809645172,19106.035591653057,31709.702029676264,78.11765672110296,1.1860383490623543,1.567944121088215,1.1088398878235655,0.21703784312691538,0.1773487289315092
"(1, 13, 9, 10, 2, 1, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,4,0.2,0.0,0.0,1.0,false,3.567729424577348,462390.12358518795,13.113194580436172,1.079988481130036,6,0.1849998342261668,7.524815682703281,18.389599999999994,7.697346976795238,30.71183687126837,22.638636712229886,0.0,37.10731866728345,1.1707267169546204e7,116475.12140739255,52776.25898147231,6175.822578628768,3573.9867462694024,25549.258698125388,99.28763869886227,4398.4323619210345,5000.9291599790595,8580.578072595166,12806.6223771928,54.282880045700686,1.1261384835837596,1.1003924213661942,0.8048401864132944,0.16835287513243274,0.12010319190354289
"(1, 13, 9, 10, 2, 2, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,4,0.2361111111111111,0.0,0.0,1.0,false,3.574224390380142,462838.6655827512,13.133039895467974,1.08184495233261,6,0.2650061896888423,7.528162436148183,18.389599999999994,7.709475729556646,30.726711331023488,22.638636712229886,0.0,37.115150465878216,1.1727799174179876e7,116503.83120972784,52798.44360810108,6188.494093216794,3579.5090374266156,25556.23362548827,100.02487041372603,4413.302405492843,4999.515683419609,8586.02711455022,12813.679126687854,54.335473711540914,1.1263497291244031,1.1014275718653042,0.8055250492209637,0.1685680351161596,0.12021759633925107
"(1, 13, 9, 10, 2, 3, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,4,0.2722222222222222,0.0,0.0,1.0,false,3.5820995719151,463383.8165418343,13.157170970474004,1.08409582486396,6,0.36394406695014664,7.532227766550506,18.389599999999994,7.724081148329645,30.744779466144927,22.638636712229886,0.0,37.12464700374966,1.1752694954159489e7,116538.71608799836,52825.43713589718,6203.852499706466,3586.2216721613995,25564.68834710792,100.92279154764942,4431.396553530899,4997.8226575258095,8592.65901879643,12822.237014180406,54.3993939479326,1.1266059828639532,1.10268562889831,0.8063570412501638,0.1688285977709594,0.12035656987149163
"(1, 13, 9, 10, 2, 4, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,4,0.3,0.0,0.0,1.0,false,3.589199672992317,463876.50538829947,13.178990632110528,1.086125060751146,6,0.4549337569606984,7.535899743433046,18.389599999999994,7.7371570947173876,30.76109936340066,22.638636712229886,0.0,37.13320928578506,1.1775141064139172e7,116570.23668388047,52849.858920425264,6217.693743348603,3592.289218988887,25572.308698901314,101.73608621580453,4447.769761364627,4996.314963133077,8598.66067251216,12829.953948897119,54.45716168370852,1.126837127248015,1.1038225725002941,0.8071086155902434,0.16906321488896905,0.12048210219190952
"(1, 13, 9, 10, 2, 5, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,4,0.30833333333333335,0.0,0.0,1.0,false,3.591521576546717,464037.8680223979,13.186139126481846,1.0867886477690607,6,0.4850539425613254,7.537101929409785,18.389599999999994,7.741414740182718,30.766442412186155,22.638636712229886,0.0,37.13600943741692,1.1782481605552927e7,116580.55880436309,52857.86230197669,6222.2190091435905,3594.2766164591517,25574.800277020073,102.0028182895352,4453.136450088009,4995.8256225849755,8600.62782826396,12832.477825059283,54.47608119877111,1.1269127400817203,1.1041949284808403,0.8073546954979653,0.16913987848350256,0.12052320205998765
"(1, 13, 9, 10, 2, 6, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,4,0.34444444444444444,0.0,0.0,1.0,false,3.602703717412222,464816.6411475966,13.220655079086637,1.089984292841434,6,0.6325939279530238,7.5429009176217585,18.389599999999994,7.761794891080886,30.792215693128266,22.638636712229886,0.0,37.14949534635544,1.181783398584981e7,116630.3671901269,52896.51779193465,6244.0040650951405,3603.869527989942,25586.796405860623,103.2926671561127,4479.0668946544565,4993.4935307824635,8610.131358828912,12844.634134049385,54.567389476061905,1.1272770480371443,1.105991940544006,0.8085418396825086,0.16950865347232255,0.1207214634529644
"(1, 13, 9, 10, 2, 7, 1, 7, 2, 1)",2833.0,nacelle,2.25,10.970703472840606,1.0,4,0.38055555555555554,0.0,0.0,1.0,false,3.6159195595060982,465740.53825334104,13.261636982977134,1.093760812260198,6,0.8121873861780442,7.549774036516979,18.389599999999994,7.785624709133404,30.82276288821814,22.638636712229886,0.0,37.16543509999447,1.1859617613129003e7,116689.44177272866,52942.42959577057,6269.732959777102,3615.252841411561,25600.967605504004,104.82830433980008,4509.893661799629,4990.786903939068,8621.424019556445,12859.004005647954,54.67570954740485,1.1277079620740171,1.108123690952859,0.8099491648716166,0.16994357148878309,0.12095646569251457
