index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length
"(1, 9, 8, 10, 1, 11, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.525,0.0,0.0,1.0,false,4.8982699327259365,777221.8587115051,24.610175840887777,1.0471878259970473,7,3.7536237132492407,8.257573719498648,25.14600000000001,5.094363058499102,35.7499161999937,31.24200000000001,0.0,48.38008962467993
"(1, 9, 8, 10, 1, 12, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.5611111111111111,0.0,0.0,1.0,false,4.9398415012285195,782168.2462885588,24.842457645368494,1.0558613575427385,7,4.719215751942876,8.281829047863157,25.14600000000001,5.1105018178389106,35.86317065150113,31.24200000000001,0.0,48.449762795990104
"(1, 9, 8, 10, 1, 13, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.5972222222222222,0.0,0.0,1.0,false,4.990800750075397,788288.2581046196,25.130842797916696,1.0664941197320081,7,5.965027039602116,8.311732316758576,25.14600000000001,5.130398545391893,36.00279680976767,31.24200000000001,0.0,48.53518474833222
"(1, 9, 8, 10, 1, 14, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.6333333333333333,0.0,0.0,1.0,false,5.054326712912919,796001.2940675048,25.49584984219228,1.0797491948705464,7,7.608250721137255,8.34925291093374,25.14600000000001,5.155363609998714,36.17799024560502,31.24200000000001,0.0,48.64169084304128
"(1, 9, 8, 10, 1, 15, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.6694444444444444,0.0,0.0,1.0,false,5.135269422141331,805957.6421365356,25.969572582791685,1.0966387707775946,7,9.837009946817993,8.397416161436434,25.14600000000001,5.187409975119184,36.402877018380245,31.24200000000001,0.0,48.7774259557141
"(1, 9, 8, 10, 1, 16, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.7055555555555556,0.0,0.0,1.0,false,5.241412135417211,819220.7338828131,26.605078332606524,1.1187873580850942,7,12.970426350611676,8.461112388935678,25.14600000000001,5.229791511704285,36.70029131020551,31.24200000000001,0.0,48.95546682758688
"(1, 9, 8, 10, 1, 17, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.7416666666666667,0.0,0.0,1.0,false,5.3860938744067095,837654.5847841622,27.496721619837356,1.148979710126929,7,17.58966531003456,8.548785765873662,25.14600000000001,5.288126715814771,37.10966116361243,31.24200000000001,0.0,49.19823786865768
"(1, 9, 8, 10, 1, 18, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.7777777777777778,0.0,0.0,1.0,false,5.594293003034677,864847.3782669422,28.829643037174797,1.1924319171306075,7,24.858544012312066,8.676366605224347,25.14600000000001,5.373015134215422,37.70536936291525,31.24200000000001,0.0,49.54776020220445
"(1, 9, 8, 10, 1, 19, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.8138888888888889,0.0,0.0,1.0,false,5.919116797211893,908700.8831510928,31.022765386248956,1.2602417291315846,7,37.443664327754625,8.877947101007651,25.14600000000001,5.507140678102366,38.64660124984117,31.24200000000001,0.0,50.09348633067033
"(1, 9, 8, 10, 1, 20, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.85,0.0,0.0,1.0,false,6.4987178312466884,990770.7590322772,35.267792201171055,1.381333692570873,7,62.8860505761483,9.24251250001382,25.14600000000001,5.749711429970285,40.348852140142355,31.24200000000001,0.0,51.06871553654377
