index,sigma_fcs,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max
"(1, 9, 8, 10, 1, 1, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.2,0.0,0.0,1.0,false,5.813791695613648,1.0450426731142676e6,38.16410214201197,1.2438139733461795,7,0.4597295122459036,9.473268996232957,25.14600000000001,5.903249799049944,41.42631437929786,31.24200000000001,0.0,49.96124928701881,3.904390385214788e7
"(1, 9, 8, 10, 1, 2, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.2361111111111111,0.0,0.0,1.0,false,5.824475293072803,1.0463829444071546e6,38.23686675868239,1.24604639609645,7,0.6586012566397466,9.47894875397861,25.14600000000001,5.90702893747215,41.45283464892737,31.24200000000001,0.0,49.979218428118664,3.9114111047808185e7
"(1, 9, 8, 10, 1, 3, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.2722222222222222,0.0,0.0,1.0,false,5.837449422408054,1.0480146164200688e6,38.32551312851761,1.2487578705619058,7,0.9045784730393298,9.485858394124369,25.14600000000001,5.911626402316215,41.48509756011379,31.24200000000001,0.0,50.0010439709204,3.919937276700631e7
"(1, 9, 8, 10, 1, 4, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.3,0.0,0.0,1.0,false,5.849165404108537,1.0494918046785037e6,38.40582468261239,1.2512066203983494,7,1.1308428945933275,9.492109113605844,25.14600000000001,5.9157854413486355,41.5142837989378,31.24200000000001,0.0,50.020755166409806,3.92763682979256e7
"(1, 9, 8, 10, 1, 5, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.30833333333333335,0.0,0.0,1.0,false,5.853000682055392,1.0499761329496345e6,38.432168578399505,1.2520082694755814,7,1.205753230436864,9.494157571655405,25.14600000000001,5.917148423163714,41.523848583605016,31.24200000000001,0.0,50.02720811914116,3.93015734975392e7
"(1, 9, 8, 10, 1, 6, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.34444444444444444,0.0,0.0,1.0,false,5.871497723600382,1.0523172179415796e6,38.55958995751363,1.2558747650520603,7,1.5727686095425644,9.504052370268756,25.14600000000001,5.923732121851974,41.570049977908596,31.24200000000001,0.0,50.05833243139657,3.942313758044506e7
"(1, 9, 8, 10, 1, 7, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.38055555555555554,0.0,0.0,1.0,false,5.893415732717756,1.055102344869244e6,38.71136010305103,1.2604568745329194,7,2.019696131175256,9.515809362588756,25.14600000000001,5.931554867714698,41.624946440103145,31.24200000000001,0.0,50.095218484483745,3.956719016122571e7
"(1, 9, 8, 10, 1, 8, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.4166666666666667,0.0,0.0,1.0,false,5.919371604435578,1.058415778451963e6,38.892174292515975,1.2658838430285935,7,2.565320069089261,9.529775971173,25.14600000000001,5.940847825177365,41.69016017668327,31.24200000000001,0.0,50.13890737295862,3.9737788806990415e7
"(1, 9, 8, 10, 1, 9, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.4527777777777778,0.0,0.0,1.0,false,5.950175059390411,1.0623689624601046e6,39.10826182289122,1.2723253638005203,7,3.235055169539673,9.546410168527212,25.14600000000001,5.9519157152457325,41.76782958067181,31.24200000000001,0.0,50.190766112942704,3.994026010861411e7
"(1, 9, 8, 10, 1, 10, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.4888888888888889,0.0,0.0,1.0,false,5.986904379363872,1.0671115484889685e6,39.3680186340826,1.280007427116937,7,4.063879584950035,9.566324570820337,25.14600000000001,5.965166154125593,41.860815116670835,31.24200000000001,0.0,50.25261540079328,4.018169671012444e7
"(1, 9, 8, 10, 1, 11, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.525,0.0,0.0,1.0,false,6.031023046825226,1.072848632169312e6,39.683001092957525,1.2892369600763214,7,5.100952980283468,9.590354980318692,25.14600000000001,5.981155259278196,41.97301936335576,31.24200000000001,0.0,50.32692824772122,4.047172805852476e7
"(1, 9, 8, 10, 1, 12, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.5611111111111111,0.0,0.0,1.0,false,6.0845634615389566,1.0798681869593153e6,40.06951855734037,1.3004410363594732,7,6.417133264374792,9.619668691787902,25.14600000000001,6.000659713212962,42.109892724301496,31.24200000000001,0.0,50.417146117648805,4.0823726995626494e7
"(1, 9, 8, 10, 1, 13, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.5972222222222222,0.0,0.0,1.0,false,6.1504270486062955,1.088586400153072e6,40.55128701231189,1.314229759491172,7,8.11770887237014,9.655941971723413,25.14600000000001,6.024794852780949,42.27926212477859,31.24200000000001,0.0,50.528185975934946,4.125678815527962e7
"(1, 9, 8, 10, 1, 14, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.6333333333333333,0.0,0.0,1.0,false,6.232894359012316,1.0996255845803255e6,41.16403386216908,1.3315006781238667,7,10.364998268578024,9.70166170315401,25.14600000000001,6.055215374472122,42.49273946997981,31.24200000000001,0.0,50.6672826750063,4.179908668076648e7
"(1, 9, 8, 10, 1, 15, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.6694444444444444,0.0,0.0,1.0,false,6.338565370948823,1.1139610668539903e6,41.964267817620794,1.3536404257397099,7,13.42088946777955,9.76068857286898,25.14600000000001,6.094490062103483,42.7683513130069,31.24200000000001,0.0,50.84561519329595,4.249407432119719e7
"(1, 9, 8, 10, 1, 16, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.7055555555555556,0.0,0.0,1.0,false,6.478176500881973,1.133209759518079e6,43.04675712142112,1.3829071509784436,7,17.732774738091962,9.839346121666619,25.14600000000001,6.146826407801525,43.13562391439667,31.24200000000001,0.0,51.08139251553548,4.3412450903733835e7
"(1, 9, 8, 10, 1, 17, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.7416666666666667,0.0,0.0,1.0,false,6.670469707050543,1.160258464675459e6,44.58325787338333,1.4232447694460333,7,24.12382185304654,9.948748446946036,25.14600000000001,6.219619394660593,43.64645189235504,31.24200000000001,0.0,51.4064250551212,4.4677956920794316e7
"(1, 9, 8, 10, 1, 18, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.7777777777777778,0.0,0.0,1.0,false,6.951511168216074,1.2008185695886146e6,46.92054508899546,1.482253504862511,7,34.26920253382496,10.110422410631537,25.14600000000001,6.327192343260673,44.40134977726789,31.24200000000001,0.0,51.88203220055439,4.652834445214309e7
"(1, 9, 8, 10, 1, 19, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.8138888888888889,0.0,0.0,1.0,false,7.401473039811133,1.2680435798594593e6,50.880833978309525,1.5768610735447444,7,52.116847232755575,10.372457319784543,25.14600000000001,6.501542419000609,45.62485908070603,31.24200000000001,0.0,52.64483910956658,4.949217681849385e7
"(1, 9, 8, 10, 1, 20, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,2,0.85,0.0,0.0,1.0,false,8.248745641652103,1.4012565855066942e6,59.03717957964949,1.7554305557001952,7,89.53683154102423,10.871885182481813,25.14600000000001,6.833846561106577,47.95681797267773,31.24200000000001,0.0,54.08536727015277,5.507672999942871e7
"(1, 9, 8, 10, 2, 1, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,4,0.2,0.0,0.0,1.0,false,5.810900899029873,1.0398731618864068e6,37.86531995174331,1.2418827841889242,7,0.3244236950361914,9.451448999193264,25.14600000000001,9.876316230021853,41.324431124637805,31.24200000000001,0.0,49.94570509005245,1.9504417770688042e7
"(1, 9, 8, 10, 2, 2, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,4,0.2361111111111111,0.0,0.0,1.0,false,5.821444297931583,1.0411036846950056e6,37.93193116222293,1.2440779192228724,7,0.4647478717759781,9.456678379975576,25.14600000000001,9.892176553488808,41.348848466812036,31.24200000000001,0.0,49.96337381631981,1.953902231621853e7
"(1, 9, 8, 10, 2, 3, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,4,0.2722222222222222,0.0,0.0,1.0,false,5.834239629222365,1.0426001897694533e6,38.0129922031457,1.2467420566206218,7,0.6382952687561445,9.463033856172968,25.14600000000001,9.91129290078473,41.37852384205278,31.24200000000001,0.0,49.98481798262484,1.9581018851076044e7
"(1, 9, 8, 10, 2, 4, 1, 7, 2, 1)",1833.0,nacelle,2.54,10.1,1.0,4,0.3,0.0,0.0,1.0,false,5.845786366846003,1.0439535968502476e6,38.08635078890287,1.2491463484406538,7,0.7979198648522862,9.468777600350688,25.14600000000001,9.928423613314212,41.40534288101489,31.24200000000001,0.0,50.004170996757914,1.9618917942916278e7
