index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle
"(1, 1, 1, 1, 3, 2, 1, 1)",nacelle,2.54,10.1,1.0,6,0.23684210526315788,500000.0,0.0,4.742012894400252,753073.8705355575,23.479212817243997,1.0139780667548763,7,0.28260631170452555
"(1, 1, 1, 1, 3, 3, 1, 1)",nacelle,2.54,10.1,1.0,6,0.2736842105263158,500000.0,0.0,4.752576822407103,754155.9269827628,23.529157838907228,1.0161688983859203,7,0.3901975805798286
"(1, 1, 1, 1, 3, 4, 1, 1)",nacelle,2.54,10.1,1.0,6,0.3105263157894737,500000.0,0.0,4.765260128688487,755457.9380172946,23.58930120308913,1.0187992872297948,7,0.5224024783471072
"(1, 1, 1, 1, 3, 5, 1, 1)",nacelle,2.54,10.1,1.0,6,0.3473684210526316,500000.0,0.0,4.7803651248821435,757012.578014295,23.66117965475542,1.0219319409518075,7,0.684079746331352
"(1, 1, 1, 1, 3, 6, 1, 1)",nacelle,2.54,10.1,1.0,6,0.38421052631578945,500000.0,0.0,4.7982821094033365,758862.2461426853,23.746791458469662,1.025647942515186,7,0.881686069855742
"(1, 1, 1, 1, 3, 7, 1, 1)",nacelle,2.54,10.1,1.0,6,0.42105263157894735,500000.0,0.0,4.819519899099188,761062.6736461028,23.84876934958769,1.0300541422021472,7,1.1238889158568586
"(1, 1, 1, 1, 3, 8, 1, 1)",nacelle,2.54,10.1,1.0,6,0.45789473684210524,500000.0,0.0,4.84474325261572,763686.7392832747,23.970566843627083,1.0352874623514419,7,1.4224860867940474
"(1, 1, 1, 1, 3, 9, 1, 1)",nacelle,2.54,10.1,1.0,6,0.49473684210526314,500000.0,0.0,4.874840178241216,766832.6401111004,24.11685241653678,1.0415320086888502,7,1.7938267375543067
"(1, 1, 1, 1, 3, 10, 1, 1)",nacelle,2.54,10.1,1.0,6,0.531578947368421,500000.0,0.0,4.91101717217244,770634.8703213424,24.294045349632007,1.0490381196339253,7,2.2610665019772602
"(1, 1, 1, 1, 3, 11, 1, 1)",nacelle,2.54,10.1,1.0,6,0.5684210526315789,500000.0,0.0,4.954950959035678,775282.0193532042,24.5111889270093,1.0581536926774417,7,2.8578756014764193
"(1, 1, 1, 1, 3, 12, 1, 1)",nacelle,2.54,10.1,1.0,6,0.6052631578947368,500000.0,0.0,5.009037780342951,781046.3794995849,24.781413180469436,1.06937590553171,7,3.634790884609255
"(1, 1, 1, 1, 3, 13, 1, 1)",nacelle,2.54,10.1,1.0,6,0.6421052631578947,500000.0,0.0,5.076821437734722,788335.4475660747,25.124500991544394,1.0834400212406996,7,4.670642182540485
"(1, 1, 1, 1, 3, 14, 1, 1)",nacelle,2.54,10.1,1.0,6,0.6789473684210526,500000.0,0.0,5.163770537636989,797786.8840053686,25.571668137489905,1.101480863742543,7,6.094363423256414
"(1, 1, 1, 1, 3, 15, 1, 1)",nacelle,2.54,10.1,1.0,6,0.7157894736842105,500000.0,0.0,5.278788179892052,810456.1070751435,26.175128337671815,1.1253453497771952,7,8.129799263080546
"(1, 1, 1, 1, 3, 16, 1, 1)",nacelle,2.54,10.1,1.0,6,0.7526315789473684,500000.0,0.0,5.4374209701011935,828223.8582889411,27.029209890862347,1.1582588820201074,7,11.196812241500794
"(1, 1, 1, 1, 3, 17, 1, 1)",nacelle,2.54,10.1,1.0,6,0.7894736842105263,500000.0,0.0,5.669528410211835,854796.730119707,28.323307149792015,1.206421925552022,7,16.169708285308026
"(1, 1, 1, 1, 3, 18, 1, 1)",nacelle,2.54,10.1,1.0,6,0.8263157894736842,500000.0,0.0,6.04087442377844,898620.2481245066,30.50073322293138,1.2834889795525197,7,25.16418860716083
"(1, 1, 1, 1, 3, 19, 1, 1)",nacelle,2.54,10.1,1.0,6,0.8631578947368421,500000.0,0.0,6.7322001547301475,984079.292700898,34.897642655149056,1.4270239453277092,7,44.68669951283029
"(1, 1, 1, 1, 3, 20, 1, 1)",nacelle,2.54,10.1,1.0,6,0.9,500000.0,0.0,8.527433226537743,1.226311978061644e6,48.3830526745447,1.8006856269470384,7,107.10845051436435
"(1, 1, 1, 1, 4, 1, 1, 1)",nacelle,2.54,10.1,1.0,8,0.2,500000.0,0.0,4.73778554980691,751424.7131542852,23.402230326690542,1.0135704162276837,7,0.17006528266291634
"(1, 1, 1, 1, 4, 2, 1, 1)",nacelle,2.54,10.1,1.0,8,0.23684210526315788,500000.0,0.0,4.74655116718235,752301.287157333,23.442643544826353,1.0153887253117113,7,0.24527768856662183
"(1, 1, 1, 1, 4, 3, 1, 1)",nacelle,2.54,10.1,1.0,8,0.2736842105263158,500000.0,0.0,4.75721911956227,753369.9240471452,23.491942228272503,1.017601655240995,7,0.33866767943809417
