index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,thetafloor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span
"(1, 1, 8, 10, 1, 4, 1, 15, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,13.333333333333334,0.0,false,4.756101861078885,760643.064209552,23.836878518815233,1.017535447178612,7,0.8337333341454904,8.175701795697819,25.14600000000001,5.039887965230845,35.36763484372523
"(1, 1, 8, 10, 1, 4, 1, 16, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,15.0,0.0,false,4.756101861078885,760643.064209552,23.836878518815233,1.017535447178612,7,0.8337333341454904,8.175701795697819,25.14600000000001,5.039887965230845,35.36763484372523
"(1, 1, 8, 10, 1, 4, 1, 17, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,16.666666666666668,0.0,false,4.756101861078885,760643.064209552,23.836878518815233,1.017535447178612,7,0.8337333341454904,8.175701795697819,25.14600000000001,5.039887965230845,35.36763484372523
"(1, 1, 8, 10, 1, 4, 1, 18, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,18.333333333333332,0.0,false,4.756101861078885,760643.064209552,23.836878518815233,1.017535447178612,7,0.8337333341454904,8.175701795697819,25.14600000000001,5.039887965230845,35.36763484372523
"(1, 1, 8, 10, 1, 4, 1, 19, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,20.0,0.0,false,4.756101861078885,760643.064209552,23.836878518815233,1.017535447178612,7,0.8337333341454904,8.175701795697819,25.14600000000001,5.039887965230845,35.36763484372523
"(1, 1, 8, 10, 1, 4, 2, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.25,0.0,1.0,false,4.769770725080903,762408.0035789328,23.92044834970083,1.0205542873469597,7,0.8372443381350784,8.184586285533957,25.39600000000001,5.045799435121816,35.40911884296011
"(1, 1, 8, 10, 1, 4, 3, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.4583333333333333,0.0,1.0,false,4.781177161755927,763883.0141554263,23.990358519944962,1.0230735478947937,7,0.8401780227132739,8.192002970791568,25.604333333333344,5.05073427239439,35.443749279960635
"(1, 1, 8, 10, 1, 4, 4, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.6666666666666666,0.0,1.0,false,4.792597892433536,765361.8579877003,24.06051260768604,1.0255960209488164,7,0.8431188198389883,8.19943129682668,25.81266666666668,5.055676855087012,35.47843407078605
"(1, 1, 8, 10, 1, 4, 5, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.875,0.0,1.0,false,4.804033079756565,766844.562086138,24.13091296013759,1.0281217479019358,7,0.8460668174298676,8.2068714364763,26.02100000000001,5.060627298200184,35.513174022457434
"(1, 1, 8, 10, 1, 4, 6, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,1.0833333333333333,0.0,1.0,false,4.815482826095684,768331.1279932882,24.201559824342304,1.0306507322405942,7,0.849022029669815,8.21432332767096,26.229333333333344,5.065585560434763,35.547968845156234
"(1, 1, 8, 10, 1, 4, 7, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,1.2916666666666667,0.0,1.0,false,4.826947289284123,769821.5652745237,24.272454117307245,1.0331829929147125,7,0.8519844975019815,8.221786982948554,26.43766666666668,5.070551650133085,35.58281859742516
