index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles
"(1, 1, 1, 1, 1, 1, 7, 2)",fuselage,2.54,10.1,1.0,2,0.2,452631.5789473684,1.0,4.847366663327586,772932.0733711754,24.423565351066596,1.0380365418276511,7,0.3516347998144238,8.237565323535636,27.326056952698252,5.081050079084023
"(1, 1, 1, 1, 1, 1, 8, 1)",fuselage,2.54,10.1,1.0,2,0.2,494736.84210526315,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
"(1, 1, 1, 1, 1, 1, 8, 2)",fuselage,2.54,10.1,1.0,2,0.2,494736.84210526315,1.0,4.837166824239959,771598.9764360432,24.3600331925902,1.0357835800043493,7,0.3505513597719456,8.230904315763942,27.140520190766487,5.076618046675619
"(1, 1, 1, 1, 1, 1, 9, 1)",fuselage,2.54,10.1,1.0,2,0.2,536842.1052631579,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
"(1, 1, 1, 1, 1, 1, 9, 2)",fuselage,2.54,10.1,1.0,2,0.2,536842.1052631579,1.0,4.828576827597112,770477.439156173,24.30662274238234,1.0338861940346096,7,0.3496397950805518,8.2252956839176,26.98408723462794,5.0728862332681315
"(1, 1, 1, 1, 1, 1, 10, 1)",fuselage,2.54,10.1,1.0,2,0.2,578947.3684210526,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
"(1, 1, 1, 1, 1, 1, 10, 2)",fuselage,2.54,10.1,1.0,2,0.2,578947.3684210526,1.0,4.821243235643357,769520.7843076659,24.261092818325128,1.0322663123239109,7,0.3488621852138523,8.220508194054032,26.850408163018635,5.06970078281416
"(1, 1, 1, 1, 1, 1, 11, 1)",fuselage,2.54,10.1,1.0,2,0.2,621052.6315789474,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
"(1, 1, 1, 1, 1, 1, 11, 2)",fuselage,2.54,10.1,1.0,2,0.2,621052.6315789474,1.0,4.81490916303305,768695.1518483444,24.221819634834908,1.0308672149508828,7,0.3481910316511757,8.21637386316113,26.734855067220764,5.066949924515772
"(1, 1, 1, 1, 1, 1, 12, 1)",fuselage,2.54,10.1,1.0,2,0.2,663157.8947368421,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
