index,sigma_fcs,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max
"(1, 9, 8, 10, 1, 1, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.2,0.0,0.0,1.0,false,5.23669061296887,894322.3631306936,30.292726397211474,1.1195933299618066,7,0.3940533893798302,8.811165399161593,25.14600000000001,5.462706160531645,38.33478007390628,31.24200000000001,0.0,48.961946905856244,3.521078496040858e7
"(1, 9, 8, 10, 1, 2, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.2361111111111111,0.0,0.0,1.0,false,5.246107220144875,895447.2024235269,30.34926973671157,1.121558669195377,7,0.5644788094857274,8.816317000008267,25.14600000000001,5.466133879382932,38.35883424128374,31.24200000000001,0.0,48.97774754646006,3.5272617510015815e7
"(1, 9, 8, 10, 1, 3, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.2722222222222222,0.0,0.0,1.0,false,5.257538130785319,896815.9603883404,30.418120906346672,1.1239445358798317,7,0.7752421951113398,8.822581267639604,25.14600000000001,5.470301932943083,38.38808373995146,31.24200000000001,0.0,48.99692954372233,3.5347678867483556e7
"(1, 9, 8, 10, 1, 4, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.3,0.0,0.0,1.0,false,5.267856403951568,898054.5574990177,30.480468756075602,1.1260982679915537,7,0.9690861863494727,8.828245644473107,25.14600000000001,5.474070837373157,38.41453219209233,31.24200000000001,0.0,49.01424564864066,3.541543563573994e7
"(1, 9, 8, 10, 1, 5, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.30833333333333335,0.0,0.0,1.0,false,5.271233299659696,898460.5449473629,30.500914237539853,1.1268031487427939,7,1.033256945673171,8.830101448606499,25.14600000000001,5.4753056331195,38.4231974254,31.24200000000001,0.0,49.01991301116684,3.543761100273627e7
"(1, 9, 8, 10, 1, 6, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.34444444444444444,0.0,0.0,1.0,false,5.2875137721318985,900422.1543080374,30.59976392614683,1.1302016034345272,7,1.3476119639483009,8.839062129056737,25.14600000000001,5.481267797932692,38.465037178475036,31.24200000000001,0.0,49.04723778372365,3.554452354911421e7
"(1, 9, 8, 10, 1, 7, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.38055555555555554,0.0,0.0,1.0,false,5.30679290167257,902754.1487555507,30.71741443997327,1.1342263177062508,7,1.7303177934782674,8.84970182613426,25.14600000000001,5.4883471294512,38.51471669790316,31.24200000000001,0.0,49.079599207190334,3.567113349304176e7
"(1, 9, 8, 10, 1, 8, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.4166666666666667,0.0,0.0,1.0,false,5.329606326833674,905526.1181623584,30.857454436683355,1.1389892588552986,7,2.1973973517939176,8.862330742605472,25.14600000000001,5.496750027181073,38.57368440127069,31.24200000000001,0.0,49.11789827649954,3.5820961038487665e7
"(1, 9, 8, 10, 1, 9, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.4527777777777778,0.0,0.0,1.0,false,5.3566559191485705,908829.9382370918,31.02463638474189,1.1446371846774457,7,2.770513066269577,8.877357108283324,25.14600000000001,5.5067481148499935,38.64384641999996,31.24200000000001,0.0,49.163316057101106,3.599861987749901e7
"(1, 9, 8, 10, 1, 10, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.4888888888888889,0.0,0.0,1.0,false,5.388874390364688,912788.7115905561,31.225351003882697,1.1513651120630795,7,3.4794516595540235,8.895325843405807,25.14600000000001,5.518703965845888,38.727747128743076,31.24200000000001,0.0,49.217422161310004,3.6210240586628884e7
"(1, 9, 8, 10, 1, 11, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.525,0.0,0.0,1.0,false,5.427525069074626,917570.8341309768,31.46837704790545,1.1594377268095164,7,4.366030546405528,8.916979097009945,25.14600000000001,5.533111383613622,38.82885181483243,31.24200000000001,0.0,49.28234718599551,3.646412951354962e7
"(1, 9, 8, 10, 1, 12, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.5611111111111111,0.0,0.0,1.0,false,5.47435491735886,923411.5408569843,31.766039534117404,1.1692202534207485,7,5.490438592385285,8.943348146212394,25.14600000000001,5.550656548647158,38.95197577998006,31.24200000000001,0.0,49.36103143776561,3.677177277463943e7
"(1, 9, 8, 10, 1, 13, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.5972222222222222,0.0,0.0,1.0,false,5.531848899109217,930649.5530080231,32.13619137792585,1.1812326017607044,7,6.941952815695746,8.97590874143253,25.14600000000001,5.572321380486236,39.104009687622714,31.24200000000001,0.0,49.45766121110676,3.714951270238828e7
"(1, 9, 8, 10, 1, 14, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.6333333333333333,0.0,0.0,1.0,false,5.603660790282787,939789.8449344062,32.605640532941266,1.1962396087759606,7,8.8579031436528,9.016844438103409,25.14600000000001,5.599558750644681,39.29514912733109,31.24200000000001,0.0,49.5783960785274,3.7621382391204424e7
"(1, 9, 8, 10, 1, 15, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.6694444444444444,0.0,0.0,1.0,false,5.695388454347595,951618.4829971348,33.21648922499335,1.2154134250793678,7,11.459187652883019,9.069522827160478,25.14600000000001,5.634609351923897,39.54111825911507,31.24200000000001,0.0,49.73267775151627,3.822420890816899e7
"(1, 9, 8, 10, 1, 16, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.7055555555555556,0.0,0.0,1.0,false,5.816067951339957,967428.2170059687,34.038754497171766,1.2406472720877089,7,15.121600146305086,9.139417850857427,25.14600000000001,5.681115379364281,39.867476346416005,31.24200000000001,0.0,49.935760652326714,3.901745495470398e7
"(1, 9, 8, 10, 1, 17, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.7416666666666667,0.0,0.0,1.0,false,5.981306659363999,989502.1603990146,35.197892246256586,1.2752127910040634,7,20.53237491505637,9.236051627168512,25.14600000000001,5.745412561267765,40.318684640475546,31.24200000000001,0.0,50.21401286377215,4.0103859183724344e7
"(1, 9, 8, 10, 1, 18, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.7777777777777778,0.0,0.0,1.0,false,6.220663821347465,1.0222839308544041e6,36.94287419359511,1.325311927104751,7,29.076722684983036,9.377582486622066,25.14600000000001,5.83958289965904,40.97952912041432,31.24200000000001,0.0,50.61743785596277,4.167807891608531e7
"(1, 9, 8, 10, 1, 19, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.8138888888888889,0.0,0.0,1.0,false,6.5981366499028535,1.0757352423823422e6,39.84753157690734,1.404397494026043,7,43.964483908202475,9.603550233850187,25.14600000000001,5.989934980499541,42.03463144210205,31.24200000000001,0.0,51.25454828119978,4.4162665523464486e7
"(1, 9, 8, 10, 1, 20, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,2,0.85,0.0,0.0,1.0,false,7.285836762355858,1.1779406618917948e6,45.60123885029931,1.5487200954143914,7,74.48470839888714,10.020476966193433,25.14600000000001,6.2673453743932965,43.981371048374015,31.24200000000001,0.0,52.41791008794047,4.869219994019022e7
"(1, 9, 8, 10, 2, 1, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.2,0.0,0.0,1.0,false,5.235495935216373,889865.7155139593,30.057193032211494,1.1182184287860681,7,0.27819637909010686,8.790836069615587,25.14600000000001,9.236705222008341,38.23985713439185,31.24200000000001,0.0,48.95089338813471,1.7594299685053144e7
"(1, 9, 8, 10, 2, 2, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.2361111111111111,0.0,0.0,1.0,false,5.244860377043026,890907.319614602,30.109395912025626,1.1201669003765682,7,0.3985084042450731,8.7956199359294,25.14600000000001,9.251594966293329,38.26219425336686,31.24200000000001,0.0,48.966558409970354,1.7625010338852163e7
"(1, 9, 8, 10, 2, 4, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.3,0.0,0.0,1.0,false,5.266471873581063,893318.5191988971,30.230353562773836,1.1246638193658112,7,0.6841244021551769,8.806683151547759,25.14600000000001,9.2856124438513,38.31385129127358,31.24200000000001,0.0,49.00271265389629,1.7695887377578452e7
"(1, 9, 8, 10, 2, 5, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.30833333333333335,0.0,0.0,1.0,false,5.269825230732832,893693.5644009715,30.249181526637358,1.12536160423051,7,0.7294207108141747,8.808402552527467,25.14600000000001,9.29084892648992,38.32187962269635,31.24200000000001,0.0,49.00832289745479,1.77068852504093e7
"(1, 9, 8, 10, 2, 6, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.34444444444444444,0.0,0.0,1.0,false,5.285984092086022,895504.1455341456,30.340130487688015,1.1287240708610802,7,0.9513045640884179,8.816698072528569,25.14600000000001,9.315930262589788,38.36061356822678,31.24200000000001,0.0,49.035357779854884,1.775988111862938e7
"(1, 9, 8, 10, 2, 7, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.38055555555555554,0.0,0.0,1.0,false,5.3051026752645,897653.4948843126,30.448213500191642,1.1327027677183095,7,1.2214085847689706,8.82653474929534,25.14600000000001,9.345291256198973,38.406543576476295,31.24200000000001,0.0,49.06734879315449,1.7822586729245458e7
"(1, 9, 8, 10, 2, 8, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.4166666666666667,0.0,0.0,1.0,false,5.327702675928591,900204.043744289,30.57663330837093,1.137406450679192,7,1.5510214161246336,8.83819190531157,25.14600000000001,9.379580876126973,38.46097387694118,31.24200000000001,0.0,49.10517061291802,1.7896713108874287e7
"(1, 9, 8, 10, 2, 9, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.4527777777777778,0.0,0.0,1.0,false,5.354466925913937,903237.9975616062,30.729623557952696,1.1429774811954176,7,1.9553978105467515,8.852036643657064,25.14600000000001,9.419635098535998,38.52561856960498,31.24200000000001,0.0,49.149969588774404,1.7984501803662997e7
"(1, 9, 8, 10, 2, 10, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.4888888888888889,0.0,0.0,1.0,false,5.3862995027298926,906865.0320054211,30.912847739643357,1.1496039579463795,7,2.4554995962026003,8.868556704417767,25.14600000000001,9.466542269554363,38.60275504008296,31.24200000000001,0.0,49.203258567854455,1.8088919968214907e7
"(1, 9, 8, 10, 2, 11, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.525,0.0,0.0,1.0,false,5.424421694546794,911234.5102000873,31.13405123816223,1.1575405496135884,7,3.0807310345254537,8.88841386575542,25.14600000000001,9.521744362653092,38.69547330313815,31.24200000000001,0.0,49.267088420744635,1.8213977036361266e7
"(1, 9, 8, 10, 2, 12, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.5611111111111111,0.0,0.0,1.0,false,5.470516902631147,916554.2913960319,31.404061000168173,1.1671380576810773,7,3.873369906869389,8.91252453634598,25.14600000000001,9.587188556759415,38.80805230978668,31.24200000000001,0.0,49.34428279651514,1.8365199080928814e7
"(1, 9, 8, 10, 2, 13, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.5972222222222222,0.0,0.0,1.0,false,5.526969775956623,923121.9993118036,31.738465432965555,1.1788937286426608,7,4.896039961627135,8.942193500820258,25.14600000000001,9.665570918561503,38.94658443962767,31.24200000000001,0.0,49.43884597127067,1.855041633147424e7
"(1, 9, 8, 10, 2, 14, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.6333333333333333,0.0,0.0,1.0,false,5.597267365157615,931378.2658815619,32.16049391254102,1.1935346136817562,7,6.244890760682147,8.979339030937178,25.14600000000001,9.760736973138808,39.12002660359772,31.24200000000001,0.0,49.55663253800352,1.8781079116835784e7
"(1, 9, 8, 10, 2, 15, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.6694444444444444,0.0,0.0,1.0,false,5.686718713359362,942003.649599096,32.706316064682696,1.2121681430187559,7,8.074189222831617,9.02689903853107,25.14600000000001,9.878382404367455,39.34209667796609,31.24200000000001,0.0,49.70656292900157,1.9074625466810174e7
"(1, 9, 8, 10, 2, 16, 1, 7, 2, 1)",3000.0,nacelle,2.54,10.1,1.0,4,0.7055555555555556,0.0,0.0,1.0,false,5.803820163261277,956105.7297741121,33.43539522689212,1.2365667052843823,7,10.645415588019745,9.089604266019906,25.14600000000001,10.027347400317822,39.634883732388666,31.24200000000001,0.0,49.90291719658013,1.9458965918112013e7
