index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max,root_span,dfan,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS,eta_grav_tank
"(1, 13, 9, 10, 1, 1, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.2,0.0,0.0,1.0,false,3.3999548533451787,416238.5990962107,10.798974402177528,1.0378120107040307,6,0.24349183246748346,7.1725906507121415,18.389599999999994,5.100618649812188,29.146392284641077,22.638636712229886,0.0,36.92957956167061,2.2306803686454274e7,3.687914320007387,1.404081007004478,114361.3909906794,64938.70210549027,6724.7500048947595,3239.5214317594236,25444.856808557764,9.316676419417618,2719.381051189576,5486.544292730483,9933.47245811635,17049.334405568454,48.89009809391207,1.1213635361495924,0.9964411245159275,0.7661397136826734,0.17752844428140757,0.11304206946520676,0.0
"(1, 13, 9, 10, 1, 2, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.2361111111111111,0.0,0.0,1.0,false,3.4066042497568403,416809.5994770117,10.821087348336853,1.0397302821015955,6,0.34886564729002745,7.177074311539488,18.389599999999994,5.104105941566791,29.16631966609595,22.638636712229886,0.0,36.93765533516944,2.2349042730001748e7,3.687914320007387,1.4170738418887259,114388.36084477794,65048.71482812432,6738.751944103243,3247.07389724075,25451.890240865214,10.101109970978538,2731.3150368319934,5490.048388006174,9953.4727473293,17080.8363849112,48.956973244179096,1.1215797622301291,0.9977565421407738,0.7669779108375943,0.17775875520040832,0.11320451380392003,0.0
"(1, 13, 9, 10, 1, 3, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.2722222222222222,0.0,0.0,1.0,false,3.4146718266302156,417504.2173407488,10.848008243613092,1.0420574853977882,6,0.4792315863549745,7.182524453536104,18.389599999999994,5.108344940897492,29.190542519414244,22.638636712229886,0.0,36.947453762164514,2.240029261231738e7,3.687914320007387,1.4326830542716535,114421.1604264749,65182.56286363086,6755.720675497426,3256.2664694646614,25460.419889016994,11.058175233759018,2745.856143395639,5494.302108790201,9977.808658025953,17119.17077444104,49.03832529926317,1.121842197829479,0.9993565663242954,0.7679963895904226,0.1780376260604149,0.11340203954379305,0.0
"(1, 13, 9, 10, 1, 4, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.3,0.0,0.0,1.0,false,3.4219504906418043,418132.6345632342,10.872382913293379,1.0441572438574027,6,0.5991801502965841,7.187451207463425,18.389599999999994,5.112176860618743,29.212439203535677,22.638636712229886,0.0,36.95629556999166,2.244653288609536e7,3.687914320007387,1.4466239974152904,114450.82776981709,65303.67395399466,6771.012547409343,3264.5876928270504,25468.112896562106,11.926655308117809,2759.0339784632456,5498.142434838289,9999.831030405472,17153.863623839414,49.11192307182599,1.1220790938950382,1.0008039389726133,0.7689166969953609,0.1782887147694949,0.11358065789501239,0.0
"(1, 13, 9, 10, 1, 5, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.30833333333333335,0.0,0.0,1.0,false,3.424331839395575,418338.583999705,10.880375177720566,1.0448442316740236,6,0.6388981129464997,7.189065021880314,18.389599999999994,5.113432049609656,29.21961171205518,22.638636712229886,0.0,36.95918859317723,2.2461648360730715e7,3.687914320007387,1.4511564802544064,114460.54933140181,65343.36947574465,6776.0119203608365,3267.3157721041084,25470.629243200223,12.211822539361568,2763.357383009968,5499.3993811050905,10007.049575154637,17165.23589488588,49.13604286057255,1.1221566229192557,1.0012782495750487,0.7692180824480886,0.1783707572815774,0.11363917919673945,0.0
"(1, 13, 9, 10, 1, 6, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.34444444444444444,0.0,0.0,1.0,false,3.435807245279589,419333.4142600885,10.919009440868594,1.0481544798161768,6,0.8335332337567537,7.196854821720012,18.389599999999994,5.1194907828183105,29.25423304467606,22.638636712229886,0.0,36.97313003876385,2.253442154367221e7,3.687914320007387,1.4728060050679288,114507.49953987448,65535.14531758245,6800.076989675676,3280.5005871019184,25482.75016639323,13.593096353647862,2784.2736924653095,5505.4595272522465,10041.926779963405,17220.18647541589,49.252551123658975,1.1225303538640843,1.0035691632143853,0.770672388505321,0.17876536276480287,0.11392174924287753,0.0
"(1, 13, 9, 10, 1, 7, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.38055555555555554,0.0,0.0,1.0,false,3.4493846957851035,420515.51791091735,10.964976582599316,1.0520705493054874,6,1.0706325798351504,7.206098859552846,18.389599999999994,5.126680590021626,29.295317657266434,22.638636712229886,0.0,36.98962598845375,2.26205313821307e7,3.687914320007387,1.4980241099758107,114563.27035359084,65763.08620118724,6828.49395270778,3296.182412245689,25497.08077919837,15.24251833976438,2809.19729297612,5512.636401441698,10083.387933926859,17285.518896350703,49.390988723094885,1.122972823603166,1.0062908580018737,0.772397252100331,0.17923065731137036,0.11425726768521906,0.0
"(1, 13, 9, 10, 1, 8, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.4166666666666667,0.0,0.0,1.0,false,3.4654352435736513,421919.85730054707,11.01967019569331,1.056699170354669,6,1.3602043335858822,7.217063692252418,18.389599999999994,5.135208793232403,29.344050247042304,22.638636712229886,0.0,37.009127647878785,2.272233440412776e7,3.687914320007387,1.527306646192954,114629.50655162295,66033.97626038016,6862.008230242201,3314.8337548952627,25514.00714814536,17.213451219056996,2838.9057871647433,5521.1298882798255,10132.67085184362,17363.187527467493,49.55544864085653,1.1234962873557164,1.0095235790737362,0.7744420172707035,0.17977848620071565,0.11465552443777942,0.0
"(1, 13, 9, 10, 1, 9, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.4527777777777778,0.0,0.0,1.0,false,3.4844440495749436,423592.5182681219,11.084933470695155,1.062179843256288,6,1.715791460011201,7.230099457824505,18.389599999999994,5.145347722010693,29.40198698291825,22.638636712229886,0.0,37.03222501842254,2.2842912176912416e7,3.687914320007387,1.5612847844566846,114708.37889699248,66356.77018446481,6901.588888095409,3337.079157987849,25534.033279708136,19.577059597603593,2874.432203791384,5531.202051934226,10191.410037303785,17455.773150044133,49.75132584515179,1.1241168040750393,1.0133730658007984,0.7768715191900707,0.18042419179498748,0.11512940265960418,0.0
"(1, 13, 9, 10, 1, 10, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.4888888888888889,0.0,0.0,1.0,false,3.5070545842803758,425595.1918492962,11.16324348761027,1.0686975415371154,6,2.156034695217291,7.245672956255693,18.389599999999994,5.15746044301273,29.471202531501316,22.638636712229886,0.0,37.05970078731718,2.298635280173608e7,3.687914320007387,1.600770846159599,114802.79804337437,66743.47425323955,6948.51280268741,3363.7573313739676,25557.82656342272,22.42989391479721,2917.172029399465,5543.201606689522,10261.798033896563,17566.737657572645,49.98584187163969,1.1248557326736552,1.017980810247868,0.7797722501613996,0.18118790403101914,0.11569611519517067,0.0
"(1, 13, 9, 10, 1, 11, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.525,0.0,0.0,1.0,false,3.534135444041677,428012.00787021936,11.257993922213677,1.0765018357501313,6,2.7071301552937075,7.264417733896124,18.389599999999994,5.172039714510841,29.55451265434767,22.638636712229886,0.0,37.092611536909374,2.3158175401154872e7,3.687914320007387,1.6468253327082876,114916.74227387787,67210.49463404652,7004.490193708634,3396.0164195552798,25586.286085850097,25.905692038746967,2969.048899106133,5557.601045172118,10346.832477878985,17700.813956216625,50.26884440926824,1.1257420000861802,1.023539686893757,0.7832617254584172,0.18209645158734689,0.11637908446290661,0.0
"(1, 13, 9, 10, 1, 12, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.5611111111111111,0.0,0.0,1.0,false,3.5668851997245903,430960.4096279914,11.373948168247711,1.0859369701801258,6,3.4068249377260127,7.287213252170775,18.389599999999994,5.189769562057792,29.655826068901675,22.638636712229886,0.0,37.13241558798196,2.336599766207902e7,3.687914320007387,1.7008579952152125,115055.78205053863,67780.79061421574,7071.859377600393,3435.4664133903225,25620.649922839493,30.19456356867921,3032.7824927131387,5575.055401335352,10450.711060815418,17864.629028985983,50.614080185896015,1.1268156968130172,1.0303188244871817,0.7875033551868496,0.18318630720155069,0.1172109242894256,0.0
"(1, 13, 9, 10, 1, 13, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.5972222222222222,0.0,0.0,1.0,false,3.6070023702740053,434609.0184018997,11.51798966737833,1.097490540022141,6,4.311170902165613,7.315313744785186,18.389599999999994,5.211625500757891,29.78071714718795,22.638636712229886,0.0,37.18117997031278,2.362061758027045e7,3.687914320007387,1.7647849959923614,115227.94785225487,68487.42757295538,7153.897488434996,3484.431383514839,25662.668360416257,35.57533907214489,3112.3374220818164,5596.498095567611,10579.483656809209,18067.732233845723,51.04128511552216,1.128133954322805,1.0387044275640673,0.7927307849322063,0.18450824487493772,0.11823832080998221,0.0
"(1, 13, 9, 10, 1, 14, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.6333333333333333,0.0,0.0,1.0,false,3.656973898946389,439208.4127653424,11.700427479807326,1.1118761301432332,6,5.506484518374356,7.350567997658146,18.389599999999994,5.239045475214637,29.937402715512217,22.638636712229886,0.0,37.24193219660724,2.393785004971032e7,3.687914320007387,1.8412832641985297,115445.23967616387,69379.73296364029,7255.339091110338,3546.3875874168866,25714.897459291482,42.472975171900366,3213.714516819827,5623.305247080848,10742.183628907122,18324.377822897382,51.579785999228875,1.129781064472958,1.0492700898938432,0.7992897785711645,0.1861350405067643,0.11953040574661741,0.0
"(1, 13, 9, 10, 1, 15, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.6694444444444444,0.0,0.0,1.0,false,3.7205912006887147,445147.1308034633,11.937399513840534,1.1301810247629762,6,7.131748481577839,7.395814242984243,18.389599999999994,5.274236999357155,30.138497139183748,22.638636712229886,0.0,37.31928959005882,2.4341813371522356e7,3.687914320007387,1.934222097910874,115726.4061550267,70534.57399660266,7383.283635774511,3626.7686135089416,25781.222578165212,51.566760910754994,3346.430877867371,5657.592832823822,10952.902910686867,18656.791493669,52.275052987792655,1.1318869278998058,1.0629046513973663,0.8077142928906897,0.18817479137774423,0.12119391406657826,0.0
"(1, 13, 9, 10, 1, 16, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.7055555555555556,0.0,0.0,1.0,false,3.803936700516057,453060.7759728932,12.255622523511697,1.1541479984446452,6,9.423582065722716,7.455637892374366,18.389599999999994,5.320766504438362,30.404380025362073,22.638636712229886,0.0,37.42066124856792,2.4871215356522307e7,3.687914320007387,2.0494400749491164,116102.44190715112,72078.52273107161,7548.8826782998785,3734.55340673025,25867.854879926308,64.01030870031535,3526.5018400897948,5702.792408768278,11234.87675258068,19101.59246154108,53.20146619403775,1.134663345126414,1.0810611910483465,0.8188746724352026,0.19079534575144091,0.12340253682162805,0.0
"(1, 13, 9, 10, 1, 17, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.7416666666666667,0.0,0.0,1.0,false,3.917437787232498,464064.00476422947,12.70267297513712,1.1867614555690795,6,12.814818131613269,7.537951654788941,18.389599999999994,5.3847883196497,30.770218969426857,22.638636712229886,0.0,37.558751241558284,2.5592445787091237e7,3.687914320007387,2.1962528481796024,116628.52430341598,74235.51418397609,7770.733538192271,3885.693910997763,25985.399409698814,81.92421425574456,3783.053637049355,5764.8697944144615,11629.283706365753,19723.60387979173,54.48945581406559,1.1384836133775889,1.1062861442051586,0.8342936292921653,0.1942726467501506,0.1264588419558683,0.0
"(1, 13, 9, 10, 1, 18, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.7777777777777778,0.0,0.0,1.0,false,4.080684096622187,480307.63965302287,13.372241158196971,1.2336373725693188,6,18.177390992549103,7.657698371119406,18.389599999999994,5.477924654573395,31.30242659756226,22.638636712229886,0.0,37.7575021292251,2.6630299489839673e7,3.687914320007387,2.390695101518227,117413.60920961527,77443.11515386954,8082.542917030517,4111.5040456002225,26153.74878189212,109.65633918580417,4175.082683447815,5855.268888459022,12216.770912672098,20649.517969683184,56.39067701088888,1.144093437010031,1.143489584786792,0.8569099466073169,0.1990978808800276,0.1309415114453487,0.0
"(1, 13, 9, 10, 1, 19, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.8138888888888889,0.0,0.0,1.0,false,4.336084807892435,506570.79338663165,14.478510967603361,1.306902401719772,6,27.530915941728146,7.847092617520226,18.389599999999994,5.625231290662921,32.14417880378812,22.638636712229886,0.0,38.06870791153965,2.8255094551336177e7,3.687914320007387,2.6636725560939563,118708.60143926053,82691.78809467625,8553.274115857532,4483.2428416412295,26415.758219483276,157.69444664853222,4842.810468079176,5999.361342958537,13180.483227063769,22166.04969925993,59.464252974675844,1.1535409568395167,1.2035753430311564,0.8932908549030061,0.2062526236316981,0.13812070947853633,0.0
"(1, 13, 9, 10, 1, 20, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.85,0.0,0.0,1.0,false,4.788210157907622,555512.4090663209,16.615683949119457,1.436495399489746,6,46.58112126541209,8.187356822611905,18.389599999999994,5.889881227956449,33.65646415975114,22.638636712229886,0.0,38.62057490721449,3.1134311011150338e7,3.687914320007387,3.0834818143146836,121214.31256031606,92684.44939738805,9342.858335260948,5197.364838206028,26876.450935561235,257.7268592566549,6198.687896689336,6263.519019259112,15022.685732504711,25056.020267924712,65.19109470645844,1.1687608150260795,1.3154242421816547,0.9611519004278617,0.21793145209441434,0.15130149319509548,0.0
"(1, 13, 9, 10, 2, 1, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,4,0.2,0.0,0.0,1.0,false,3.329455459053012,398426.5360000553,10.319040599796118,1.0167425132019203,6,0.16705072753071262,7.031500065852895,18.389599999999994,7.252238418735926,28.51932301859998,22.638636712229886,0.0,36.84093309516969,1.0926584359361654e7,3.687914320007387,0.9828867727465833,114019.17048516941,52743.01443774425,6637.999569670027,2955.1086219391414,25386.83851603032,0.0,2621.2764632630165,5181.485864388156,8159.68048486102,13030.34112090395,46.809038599914636,1.118994067234519,0.9554967150009241,0.7392882925019989,0.1760975174345869,0.10681457870701871,0.0
"(1, 13, 9, 10, 2, 2, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,4,0.2361111111111111,0.0,0.0,1.0,false,3.3355778374432408,398848.41775810753,10.336265312723578,1.0184990895434074,6,0.2393003312724955,7.034888738753934,18.389599999999994,7.264097519964924,28.534383787049048,22.638636712229886,0.0,36.84831949965455,1.0945965250489658e7,3.687914320007387,0.9919219798913805,114041.92162743265,52769.86910818352,6651.504026381746,2960.21572814846,25393.441148089645,0.0,2631.69482960912,5181.519155620042,8166.4526985662,13036.962480675707,46.8584904215918,1.1191912322282935,0.9564719372702638,0.7399230528527917,0.17632072529181492,0.10692837676939035,0.0
