index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,thetafloor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span
"(1, 9, 1, 10, 1, 4, 1, 7, 1, 1)",wing,2.54,10.1,1.0,2,0.3,0.0,0.0,0.0,false,4.966899164585642,788165.2472128656,25.1501651813985,1.0641180103107768,7,0.8884270544759384,8.313027894878092,28.956000000000014,5.131260583751571,36.008846201765415
"(1, 9, 1, 10, 1, 4, 1, 7, 1, 2)",wing,2.54,10.1,1.0,2,0.3,0.0,0.0,0.0,true,4.944951488319418,759742.1410076183,24.249852751291264,1.0591361236358703,7,0.8824743256071836,8.173477426544038,28.956000000000014,5.038407937505956,35.357248684252326
"(1, 9, 1, 11, 1, 4, 1, 7, 1, 1)",wing,2.54,10.1,1.0277777777777777,2,0.3,0.0,0.0,0.0,false,5.0108704348203075,786051.1033997956,25.91351037420522,1.075554718142254,7,0.8999188281143734,8.30297305651438,28.956000000000014,5.1245703994706595,35.96189754014498
"(1, 9, 2, 1, 1, 4, 1, 7, 1, 1)",wing,2.54,6.666666666666667,0.75,2,0.3,0.0,0.0,0.0,false,5.575664869288775,776040.4778875147,23.474788099645956,1.170011427127502,7,1.051992430948072,6.817646654956461,28.956000000000014,4.13627929181928,29.026521346100214
"(1, 9, 2, 1, 1, 4, 1, 7, 1, 2)",wing,2.54,6.666666666666667,0.75,2,0.3,0.0,0.0,0.0,true,5.5591875681911045,758463.0313275706,22.984726844604555,1.165301910954806,7,1.0472938668001588,6.747230914086436,28.956000000000014,4.0894267949758,28.697731894567024
"(1, 9, 2, 2, 1, 4, 1, 7, 1, 1)",wing,2.54,6.666666666666667,0.7777777777777778,2,0.3,0.0,0.0,0.0,false,5.552732760330482,769772.738665242,24.21070283668672,1.1651009218984483,7,1.0456081657195868,6.792639748405317,28.956000000000014,4.119640455164626,28.909757580102646
"(1, 9, 2, 2, 1, 4, 1, 7, 1, 2)",wing,2.54,6.666666666666667,0.7777777777777778,2,0.3,0.0,0.0,0.0,true,5.542791124863527,753630.129492512,23.74203935627326,1.1618203410761863,7,1.0427316761187906,6.727738064022287,28.956000000000014,4.076456844154907,28.606714695823914
"(1, 9, 2, 3, 1, 4, 1, 7, 1, 1)",wing,2.54,6.666666666666667,0.8055555555555556,2,0.3,0.0,0.0,0.0,false,5.533022225497597,764222.7715975059,24.952004254608042,1.1610376100697966,7,1.0401298232343974,6.770406116502701,28.956000000000014,4.10484687129168,28.805942956432844
"(1, 9, 2, 3, 1, 4, 1, 7, 1, 2)",wing,2.54,6.666666666666667,0.8055555555555556,2,0.3,0.0,0.0,0.0,true,5.528899523631239,749348.4641247416,24.503281425220337,1.1590446085705346,7,1.0388701105193068,6.710411087731019,28.956000000000014,4.064928000007799,28.525810526370524
"(1, 9, 2, 4, 1, 4, 1, 7, 1, 1)",wing,2.54,6.666666666666667,0.8333333333333334,2,0.3,0.0,0.0,0.0,false,5.516970692484652,759351.1229976966,25.701537684102767,1.1579543790728672,7,1.0356726344814493,6.7508214571785645,28.956000000000014,4.091815833375621,28.71449707632015
"(1, 9, 2, 4, 1, 4, 1, 7, 1, 2)",wing,2.54,6.666666666666667,0.8333333333333334,2,0.3,0.0,0.0,0.0,true,5.518105187425132,745606.688045149,25.271594433012936,1.1571392986685087,7,1.0358693302580264,6.6952267888497055,28.956000000000014,4.054824828378598,28.45491107634104
"(1, 9, 2, 5, 1, 4, 1, 7, 1, 1)",wing,2.54,6.666666666666667,0.8611111111111112,2,0.3,0.0,0.0,0.0,false,5.505826445002928,755185.7200468073,26.46520245130982,1.156180144148184,7,1.0325753003588172,6.73403173829631,28.956000000000014,4.080644464002605,28.636101501772664
"(1, 9, 2, 5, 1, 4, 1, 7, 1, 2)",wing,2.54,6.666666666666667,0.8611111111111112,2,0.3,0.0,0.0,0.0,true,5.511796944131069,742454.0574989192,26.05307315458431,1.1564602591498918,7,1.0341089049847456,6.682409639286689,28.956000000000014,4.04629668606235,28.395064463595443
"(1, 9, 2, 6, 1, 4, 1, 7, 1, 1)",wing,2.54,6.666666666666667,0.8888888888888888,2,0.3,0.0,0.0,0.0,false,5.501027920369149,751773.2431716446,27.249959014880464,1.1560774283030013,7,1.0312290291685136,6.7202565242316625,28.956000000000014,4.071478854644414,28.571781436101155
"(1, 9, 2, 6, 1, 4, 1, 7, 1, 2)",wing,2.54,6.666666666666667,0.8888888888888888,2,0.3,0.0,0.0,0.0,true,5.511524908673159,739953.9775087795,26.854811876286494,1.1573910030410501,7,1.0340131732817195,6.672240861134007,28.956000000000014,4.03953068970395,28.347583787396143
"(1, 9, 2, 7, 1, 4, 1, 7, 1, 1)",wing,2.54,6.666666666666667,0.9166666666666666,2,0.3,0.0,0.0,0.0,false,5.504757626153482,749201.613419193,28.065264277873474,1.1581088449451247,7,1.032231593192692,6.709879761207002,28.956000000000014,4.0645744714645815,28.523329624312858
"(1, 9, 2, 7, 1, 4, 1, 7, 1, 2)",wing,2.54,6.666666666666667,0.9166666666666666,2,0.3,0.0,0.0,0.0,true,5.519528194820043,738204.9481954087,27.686209799293025,1.160403687357177,7,1.0361984843406578,6.665143074573218,28.956000000000014,4.034808037945605,28.314442371548104
"(1, 9, 2, 8, 1, 4, 1, 7, 1, 1)",wing,2.54,6.666666666666667,0.9444444444444444,2,0.3,0.0,0.0,0.0,false,5.519608632388707,747583.9488903948,28.92256474708939,1.1628018028359215,7,1.0362992092017258,6.703384287168664,28.956000000000014,4.060252580178372,28.493000562655244
"(1, 9, 2, 8, 1, 4, 1, 7, 1, 2)",wing,2.54,6.666666666666667,0.9444444444444444,2,0.3,0.0,0.0,0.0,true,5.538452948419272,737331.2824428664,28.55878659583841,1.1660498364391945,7,1.0413994783731553,6.6616412779231515,28.956000000000014,4.03247804873486,28.298091570069193
"(1, 9, 2, 9, 1, 4, 1, 7, 1, 1)",wing,2.54,6.666666666666667,0.9722222222222222,2,0.3,0.0,0.0,0.0,false,5.548000949497595,747030.5657687007,29.833930321767504,1.1706720113657183,7,1.0441119731555242,6.7012359164290745,28.956000000000014,4.058823119491718,28.48296925959101
"(1, 9, 2, 9, 1, 4, 1, 7, 1, 2)",wing,2.54,6.666666666666667,0.9722222222222222,2,0.3,0.0,0.0,0.0,true,5.570706724081323,737443.106581193,29.484115528291046,1.1748169806101056,7,1.0502971485182395,6.662197260619453,28.956000000000014,4.032847982746795,28.300687598223128
"(1, 9, 2, 10, 1, 4, 1, 7, 1, 1)",wing,2.54,6.666666666666667,1.0,2,0.3,0.0,0.0,0.0,false,5.591037730924126,747579.0174505714,30.807840243305407,1.181975730352803,7,1.056003611239323,6.703594932577296,28.956000000000014,4.0603927372401465,28.493984120983487
"(1, 9, 2, 10, 1, 4, 1, 7, 1, 2)",wing,2.54,6.666666666666667,1.0,2,0.3,0.0,0.0,0.0,true,5.617485852707843,738599.2314522496,30.471475939714722,1.187036881529142,7,1.063255212584721,6.667053070928165,28.956000000000014,4.0360788915514245,28.323360642466138
