index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max,root_span,dfan,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS,eta_grav_tank
"(1, 13, 9, 10, 1, 1, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.2,0.0,0.0,1.0,false,4.213471266241789,488651.67456706817,13.684201266761308,1.2741683892898596,6,0.3323804563405955,7.728721930033888,35.25519999999999,5.533165200395769,31.618086859404396,22.990836286335533,83.95184175509024,54.79498350163373,1.8019686295018468e7,3.687914320007387,1.5575518939526098,155879.79066198584,83546.25397457732,10132.83572043758,2845.203336222742,40332.61255837429,201.5136696652316,14132.469003167764,6889.724351473747,13487.81654175817,21395.58567253592,57.53372237710235,1.586239979786623,1.1653041919083535,0.8550168192377359,0.22925172491102094,0.1043470339800768,0.0
"(1, 13, 9, 10, 1, 2, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.2361111111111111,0.0,0.0,1.0,false,4.220503451501198,489002.16403981036,13.698499400450695,1.2762796002781354,6,0.4760281003031523,7.731264858841137,35.25519999999999,5.535143033912519,31.629388765214394,22.990836286335533,83.95184175509024,54.803952415264796,1.8048830616193287e7,3.687914320007387,1.5717517136920411,155913.04455218583,83636.44707719273,10167.486571792248,2850.394666646054,40341.133830771825,202.10836845089628,14150.138002999285,6894.787727657211,13504.837071743299,21418.598327881504,57.57486066156466,1.586464506463029,1.166127294609378,0.8557503010473226,0.22974054866459462,0.10446440049166343,0.0
"(1, 13, 9, 10, 1, 3, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.2722222222222222,0.0,0.0,1.0,false,4.2290267617426895,489427.2519054912,13.715846661272746,1.2788388873480423,6,0.6535892934482276,7.734347747786547,35.25519999999999,5.537540836425616,31.64309049386066,22.990836286335533,83.95184175509024,54.81482556010432,1.8084155249660544e7,3.687914320007387,1.5888026502575172,155953.33887236036,83745.88774248476,10209.600085332127,2856.7007503013506,40351.46219637209,202.83024548939787,14171.533636887712,6900.930609341827,13525.492446906765,21446.520392655177,57.62475387905997,1.586736700485385,1.1671258788565717,0.856641600185648,0.2303338100196607,0.10460685934287797,0.0
"(1, 13, 9, 10, 1, 4, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.3,0.0,0.0,1.0,false,4.236708258509204,489810.6159332565,13.731496789451441,1.2811457763637728,6,0.8168127987416344,7.737126842118983,35.25519999999999,5.539702354239732,31.655442024227042,22.990836286335533,83.95184175509024,54.82462705123828,1.811599132877826e7,3.687914320007387,1.6040234161777838,155989.64306884896,83844.6340806481,10247.662010315205,2862.397100215672,40360.77063516915,203.4818333671865,14190.79719498335,6906.47224047134,13544.131869373332,21471.712493302588,57.66974902959125,1.5869820643710573,1.1680267233568957,0.8574470176069837,0.2308692079097348,0.10473544027826545,0.0
"(1, 13, 9, 10, 1, 5, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.30833333333333335,0.0,0.0,1.0,false,4.239219707246718,489936.0092056881,13.736616885070116,1.2819000837558785,6,0.8708292899138248,7.73803560082933,35.25519999999999,5.5404091665700035,31.65948095182859,22.990836286335533,83.95184175509024,54.827832081847454,1.8126400115901355e7,3.687914320007387,1.608970394557124,156001.51046613452,83876.94247833842,10260.128389279014,2864.2621994271503,40363.814036727075,203.69507546535533,14197.091455299284,6908.2851808245205,13550.230929280506,21479.95468911298,57.68446617050942,1.5870622963604262,1.1683214342374117,0.8577107890984965,0.2310444042115799,0.10477751893837138,0.0
"(1, 13, 9, 10, 1, 6, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.34444444444444444,0.0,0.0,1.0,false,4.251310693057263,490540.06490761566,13.761289784997548,1.2855321190454319,6,1.135316074906091,7.742411655525163,35.25519999999999,5.543812764666761,31.678930083810066,22.990836286335533,83.95184175509024,54.84326542699974,1.8176512292129997e7,3.687914320007387,1.6325888841720004,156058.62938345477,84032.6486169204,10320.297952740932,2873.2600046598627,40378.466303983536,204.72312716890048,14227.367243177088,6917.0209973593455,13579.62805160754,21519.67480036505,57.75536167291417,1.5874486375092531,1.1697415318305993,0.8589837290540816,0.2318888790871007,0.10498037179024158,0.0
"(1, 13, 9, 10, 1, 7, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.38055555555555554,0.0,0.0,1.0,false,4.265592438715343,491254.3492763731,13.79048196324489,1.289823351922285,6,1.4570321164382465,7.747582634683105,35.25519999999999,5.54783463734516,31.701912213400917,22.990836286335533,83.95184175509024,54.86150181739291,1.8235705329548005e7,3.687914320007387,1.6600774862105978,156126.06510799946,84216.91127127614,10391.692972889554,2883.927683554207,40395.773845041804,205.94049361100426,14263.070563324478,6927.355916379475,13614.424089395588,21566.675147270667,57.83919169346549,1.5879051383971343,1.1714216037142648,0.8604938279262091,0.23288851420501122,0.10522055623896495,0.0
"(1, 13, 9, 10, 1, 8, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.4166666666666667,0.0,0.0,1.0,false,4.28244237013647,492098.1521939376,13.824991234854547,1.2948877482336816,6,1.8492659191036926,7.753686225120643,35.25519999999999,5.552581874352135,31.7290392820122,22.990836286335533,83.95184175509024,54.8830268311936,1.8305544140154578e7,3.687914320007387,1.691964755502093,156205.58206539942,84434.78438195073,10476.372789163344,2896.5686860909886,40416.19428049099,207.3810264577517,14305.113288453133,6939.571692115187,13655.577702356764,21622.242698271162,57.938219096260674,1.5884439494009477,1.173407482928082,0.8622845210653042,0.23407082899136447,0.1055047305594628,0.0
"(1, 13, 9, 10, 1, 9, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.4527777777777778,0.0,0.0,1.0,false,4.3023525215742975,493096.7063755472,13.865862468014663,1.3008740534437637,6,2.3299367357092433,7.760902141508409,35.25519999999999,5.5581942537648406,31.761110021513378,22.990836286335533,83.95184175509024,54.90847371360909,1.8388068873387624e7,3.687914320007387,1.7289217440182634,156299.4736798806,84692.89041022593,10577.05576511218,2911.582344811031,40440.32397540979,209.0890509143008,14354.675565382671,6954.037128608468,13704.345355415353,21688.062602525017,58.05540263789865,1.5890809149864014,1.1757591838827492,0.8644131837849385,0.2354719335200398,0.1058416254679769,0.0
"(1, 13, 9, 10, 1, 10, 1, 7, 2, 1)",nacelle,2.25,10.970703472840606,1.0,2,0.4888888888888889,0.0,0.0,1.0,false,4.325972550496749,494283.4457802706,13.914483013984555,1.3079791264716625,6,2.9236082671975887,7.769468074543885,35.25519999999999,5.564856646125768,31.79918083500439,22.990836286335533,83.95184175509024,54.9386815124937,1.848597345145297e7,3.687914320007387,1.7718093050997983,156410.77064069628,85000.02390629632,10697.368953879752,2929.5017615093075,40468.95193136278,211.12365365208794,14413.31184082212,6971.241661527144,13762.397259515461,21766.37288648613,58.19466358028463,1.5898370276077562,1.1785563575279443,0.8669564100497732,0.23713967765545774,0.10624285285828251,0.0
