index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span
"(1, 1, 1, 1, 2, 14, 1, 1)",nacelle,2.54,10.1,1.0,4,0.6447368421052632,500000.0,0.0,5.076047067472085,791627.0785777372,25.281919545273745,1.0832122694460105,7,5.814338044767709,8.328146327254295,25.14600000000001,9.137164969654247,36.07943810391111
"(1, 1, 1, 1, 2, 15, 1, 1)",nacelle,2.54,10.1,1.0,4,0.6789473684210526,500000.0,0.0,5.157481920220323,800883.6178880921,25.720789958144238,1.1001670899027245,7,7.448879355996185,8.373067812758617,25.14600000000001,9.248973760455716,36.289188230779544
"(1, 1, 1, 1, 2, 16, 1, 1)",nacelle,2.54,10.1,1.0,4,0.7131578947368421,500000.0,0.0,5.263228274949544,813067.1126057323,26.30220850765966,1.1221836934489762,7,9.726990182336744,8.431796284997079,25.14600000000001,9.389550121062186,36.56340677819648
"(1, 1, 1, 1, 2, 17, 1, 1)",nacelle,2.54,10.1,1.0,4,0.7473684210526316,500000.0,0.0,5.4055743297304755,829743.3450324986,27.104940787934474,1.1518195755905238,7,13.047838647838114,8.511467238817497,25.14600000000001,9.571828305317169,36.935411231832674
"(1, 1, 1, 1, 2, 18, 1, 1)",nacelle,2.54,10.1,1.0,4,0.781578947368421,500000.0,0.0,5.606927134950989,853839.2025546017,28.278808411307548,1.1937397254431903,7,18.19295970814661,8.625176160837372,25.14600000000001,9.8185187457244,37.46634783270368
"(1, 1, 1, 1, 2, 19, 1, 1)",nacelle,2.54,10.1,1.0,4,0.8157894736842105,500000.0,0.0,5.913075139645147,891529.2319978161,30.14763248239714,1.2574865319057045,7,26.893269320473877,8.79985146168183,25.14600000000001,10.17401527324275,38.28195235026536
"(1, 1, 1, 1, 2, 20, 1, 1)",nacelle,2.54,10.1,1.0,4,0.85,500000.0,0.0,6.435212668664563,958464.8062654004,33.562760540304254,1.3662237816521952,7,43.76466999467589,9.10117340734852,25.14600000000001,10.740376309513408,39.688903069331616
"(1, 1, 1, 1, 3, 1, 1, 1)",nacelle,2.54,10.1,1.0,6,0.2,500000.0,0.0,4.733333525867777,752186.4913938505,23.438279402238805,1.0121780845899662,7,0.19595227222880668,8.133743134645142,25.14600000000001,8.401936065420253,35.171718916631015
"(1, 1, 1, 1, 3, 2, 1, 1)",nacelle,2.54,10.1,1.0,6,0.23421052631578948,500000.0,0.0,4.741332868586775,753004.2909265526,23.476002378691454,1.0138370382301014,7,0.2757598835428448,8.13782752858596,25.14600000000001,8.41334934686354,35.19079001674379
"(1, 1, 1, 1, 3, 3, 1, 1)",nacelle,2.54,10.1,1.0,6,0.26842105263157895,500000.0,0.0,4.750944061884961,753988.5418018019,23.521429498440494,1.015830282274225,7,0.37341742882643836,8.142740245752048,25.14600000000001,8.426981726215367,35.21372877393953
"(1, 1, 1, 1, 3, 4, 1, 1)",nacelle,2.54,10.1,1.0,6,0.3026315789473684,500000.0,0.0,4.762349888150613,755158.9111445847,23.575483930752476,1.0181957307042915,7,0.4917783352697948,8.148577690582382,25.14600000000001,8.4430486743706,35.2409853256765
"(1, 1, 1, 1, 3, 5, 1, 1)",nacelle,2.54,10.1,1.0,6,0.3368421052631579,500000.0,0.0,4.7757814528380855,756540.3569351374,23.63933907835527,1.020981321202232,7,0.6345376095076486,8.155461994906107,25.14600000000001,8.461820042269464,35.27312993730478
"(1, 1, 1, 1, 3, 6, 1, 1)",nacelle,2.54,10.1,1.0,6,0.37105263157894736,500000.0,0.0,4.791531315137658,758164.6066583053,23.71448940969825,1.0242477378967743,7,0.8064988317328934,8.16354811012267,25.14600000000001,8.483633793736066,35.31088611730431
"(1, 1, 1, 1, 3, 7, 1, 1)",nacelle,2.54,10.1,1.0,6,0.4052631578947368,500000.0,0.0,4.809973003679111,760072.4914760824,23.80286213229393,1.0280733753351161,7,1.0139556419361848,8.173035013713312,25.14600000000001,8.508916143251076,35.35518294340846
"(1, 1, 1, 1, 3, 8, 1, 1)",nacelle,2.54,10.1,1.0,6,0.4394736842105263,500000.0,0.0,4.831584021659035,762316.3116098001,23.906932398765505,1.0325571894972774,7,1.2652443061379073,8.184176862549075,25.14600000000001,8.538205055956588,35.40720714030697
"(1, 1, 1, 1, 3, 9, 1, 1)",nacelle,2.54,10.1,1.0,6,0.47368421052631576,500000.0,0.0,4.856983466838564,764964.230729458,24.029935612124923,1.0378270695990732,7,1.5715628098396395,8.1973038777389,25.14600000000001,8.57218811218137,35.46850059644623
"(1, 1, 1, 1, 3, 10, 1, 1)",nacelle,2.54,10.1,1.0,6,0.5078947368421053,500000.0,0.0,4.886987475931655,768106.826335931,24.17618525751581,1.0440523597096825,7,1.9482136308847777,8.212853335638632,25.14600000000001,8.611757504854523,35.5411050691298
"(1, 1, 1, 1, 3, 11, 1, 1)",nacelle,2.54,10.1,1.0,6,0.5421052631578948,500000.0,0.0,4.92268963585849,771866.4026441558,24.351528566528472,1.0514599682506276,7,2.4165400711636504,8.231413243027292,25.14600000000001,8.658088489028252,35.62776611530254
"(1, 1, 1, 1, 3, 12, 1, 1)",nacelle,2.54,10.1,1.0,6,0.5763157894736842,500000.0,0.0,4.965586772135629,776411.8193820523,24.56407569330746,1.0603604631077814,7,3.0070432229791884,8.253791509894166,25.14600000000001,8.712760078929298,35.732256077326845
"(1, 1, 1, 1, 3, 13, 1, 1)",nacelle,2.54,10.1,1.0,6,0.6105263157894737,500000.0,0.0,5.017780716998943,781982.541416734,24.825390570081407,1.0711899395388684,7,3.7645904402782184,8.281127306728218,25.14600000000001,8.777945160431253,35.8598940391979
"(1, 1, 1, 1, 3, 14, 1, 1)",nacelle,2.54,10.1,1.0,6,0.6447368421052632,500000.0,0.0,5.082315547023411,788929.3344334803,25.152522672358728,1.0845799652601027,7,4.757512802639164,8.315077850518055,25.14600000000001,8.85672207337545,36.01841797907263
"(1, 1, 1, 1, 3, 15, 1, 1)",nacelle,2.54,10.1,1.0,6,0.6789473684210526,500000.0,0.0,5.163770537636989,797786.8840053686,25.571668137489905,1.101480863742543,7,6.094363423256414,8.35814825860535,25.14600000000001,8.953610957944221,36.219524942904364
"(1, 1, 1, 1, 3, 16, 1, 1)",nacelle,2.54,10.1,1.0,6,0.7131578947368421,500000.0,0.0,5.269365608520406,809411.2945703925,26.12518682608048,1.1233903216256986,7,7.956856459550939,8.414308011175043,25.14600000000001,9.075550447848544,36.481749468521606
"(1, 1, 1, 1, 3, 17, 1, 1)",nacelle,2.54,10.1,1.0,6,0.7473684210526316,500000.0,0.0,5.411193178113327,825263.4695102273,26.886279642860803,1.1528170428361417,7,10.670117452363165,8.490241499346658,25.14600000000001,9.233819548868347,36.836302720684785
"(1, 1, 1, 1, 3, 18, 1, 1)",nacelle,2.54,10.1,1.0,6,0.781578947368421,500000.0,0.0,5.611191962601472,848056.1064589776,27.99314989178378,1.1943153885990947,7,14.869215536437066,8.598144834035145,25.14600000000001,9.448197295499083,37.34013152078667
"(1, 1, 1, 1, 3, 19, 1, 1)",nacelle,2.54,10.1,1.0,6,0.8157894736842105,500000.0,0.0,5.913839141690788,883455.1804306721,29.741206592209032,1.2571240169720626,7,21.954944409345277,8.762878281204124,25.14600000000001,9.757221025863222,38.1093149316924
"(1, 1, 1, 1, 3, 20, 1, 1)",nacelle,2.54,10.1,1.0,6,0.85,500000.0,0.0,6.425694732803759,945596.8889513018,32.89340452262796,1.3633672150021965,7,35.633080649760494,9.044242765137957,25.14600000000001,10.248836554877329,39.423079059009915
"(1, 1, 1, 1, 4, 1, 1, 1)",nacelle,2.54,10.1,1.0,8,0.2,500000.0,0.0,4.73778554980691,751424.7131542852,23.402230326690542,1.0135704162276837,7,0.17006528266291634,8.129951887445555,25.14600000000001,8.277860515001027,35.15401659507653
"(1, 1, 1, 1, 4, 2, 1, 1)",nacelle,2.54,10.1,1.0,8,0.23421052631578948,500000.0,0.0,4.745864409672099,752232.5614074947,23.439474220944753,1.0152462665767985,7,0.23933511997243895,8.133989043643526,25.14600000000001,8.288193357835457,35.172867129853046
"(1, 1, 1, 1, 4, 3, 1, 1)",nacelle,2.54,10.1,1.0,8,0.26842105263157895,500000.0,0.0,4.755570347828642,753204.6318667594,23.484314715793367,1.0172596380486614,7,0.3241020431568748,8.138843959035157,25.14600000000001,8.300538095822567,35.1955359954949
"(1, 1, 1, 1, 4, 4, 1, 1)",nacelle,2.54,10.1,1.0,8,0.3026315789473684,500000.0,0.0,4.767087464905774,754360.2249554055,23.537657168204213,1.0196487173381454,7,0.4268452015873847,8.14461130969485,25.14600000000001,8.315091361642846,35.22246525927557
"(1, 1, 1, 1, 4, 5, 1, 1)",nacelle,2.54,10.1,1.0,8,0.3368421052631579,500000.0,0.0,4.7806487364051025,755723.8768780574,23.600654322426898,1.0224619635828356,7,0.5507752186619916,8.151411258380096,25.14600000000001,8.332099774900396,35.254215992436244
