index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span
"(1, 1, 1, 1, 1, 1, 1, 1)",wing,2.54,10.1,1.0,2,0.2,500000.0,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085,35.29382672340351
"(1, 1, 1, 2, 1, 1, 1, 1)",wing,2.54,10.1,0.7763157894736842,2,0.2,200000.0,0.0,4.910263518922765,840294.7331324185,19.67706593303807,1.0461936727105914,7,0.35853400659801243,8.560011368548837,25.14600000000001,5.2955958911356085,37.162076429021816
"(1, 1, 1, 3, 1, 1, 1, 1)",wing,2.54,10.1,0.8026315789473685,2,0.2,200000.0,0.0,4.8510674443329975,823275.8304261272,20.0304473815053,1.033282963425243,7,0.35219038644735384,8.47937246546218,25.14600000000001,5.241941212428142,36.78555236791679
"(1, 1, 1, 4, 1, 1, 1, 1)",wing,2.54,10.1,0.8289473684210527,2,0.2,200000.0,0.0,4.801482742362337,808713.1728365624,20.413149359196446,1.0225844702727587,7,0.34690499960599525,8.409705467051593,25.14600000000001,5.195586906092694,36.46025899012417
"(1, 1, 1, 5, 1, 1, 1, 1)",wing,2.54,10.1,0.8552631578947368,2,0.2,200000.0,0.0,4.760903099635512,796227.3331522535,20.8231679665927,1.0140083698206348,7,0.3425975900828837,8.349478552990176,25.14600000000001,5.155513745374785,36.17904382719148
"(1, 1, 1, 6, 1, 1, 1, 1)",wing,2.54,10.1,0.881578947368421,2,0.2,200000.0,0.0,4.7292726442265245,785559.7945935796,21.260747784238887,1.0075839421939223,7,0.33924961367674783,8.29766248856906,25.14600000000001,5.121036908736612,35.93710111394114
"(1, 1, 1, 7, 1, 1, 1, 1)",wing,2.54,10.1,0.9078947368421053,2,0.2,200000.0,0.0,4.707381785263597,776562.627163647,21.728896638009473,1.003491589800225,7,0.33693382683785933,8.253711672690825,25.14600000000001,5.091793369767047,35.73188329661086
"(1, 1, 1, 8, 1, 1, 1, 1)",wing,2.54,10.1,0.9342105263157895,2,0.2,200000.0,0.0,4.696731483405696,769170.5060368552,22.23302980691815,1.0020321317606344,7,0.3357994206457835,8.217448239741588,25.14600000000001,5.067664782084869,35.562559874279785
"(1, 1, 1, 9, 1, 1, 1, 1)",wing,2.54,10.1,0.9605263157894737,2,0.2,200000.0,0.0,4.698939834046034,763353.6435239164,22.779540827325086,1.003531247241611,7,0.33601099777965887,8.1888421715487,25.14600000000001,5.048631172509057,35.42899068427409
"(1, 1, 1, 10, 1, 1, 1, 1)",wing,2.54,10.1,0.9868421052631579,2,0.2,200000.0,0.0,4.71499101065174,759064.0408231352,23.373666839860064,1.0082025836804924,7,0.33767204668186235,8.16774740332954,25.14600000000001,5.034595353966348,35.33049371204455
