index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span
"(1, 9, 8, 10, 1, 1, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.2,1.0e30,1.0,false,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085,35.29382672340351
"(1, 9, 8, 10, 1, 2, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.2361111111111111,1.0e30,1.0,false,4.736683954093132,758421.798119206,23.73388578653428,1.013485654567435,7,0.4856771708534328,8.164663884301726,25.14600000000001,5.032543673990643,35.31609595782908
"(1, 9, 8, 10, 1, 3, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.2722222222222222,1.0e30,1.0,false,4.746891169663088,759588.0660011653,23.787943577403837,1.0156144611191589,7,0.666989627749298,8.170461346319422,25.14600000000001,5.036401129263117,35.3431658193903
"(1, 9, 8, 10, 1, 4, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.3,1.0e30,1.0,false,4.756101861078885,760643.064209552,23.836878518815233,1.017535447178612,7,0.8337333341454904,8.175701795697819,25.14600000000001,5.039887965230845,35.36763484372523
"(1, 9, 8, 10, 1, 5, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.30833333333333335,1.0e30,1.0,false,4.759115678975885,760988.8015114316,23.852922319251967,1.0181640201368274,7,0.8889298677741103,8.177418358815872,25.14600000000001,5.041030114231574,35.375649924432096
"(1, 9, 8, 10, 1, 6, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.34444444444444444,1.0e30,1.0,false,4.7736413160778,762658.7525924059,23.930465421031066,1.0211935240790662,7,1.1593018436507656,8.18570398436839,25.14600000000001,5.046543118003871,35.414337670202606
"(1, 9, 8, 10, 1, 7, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.38055555555555554,1.0e30,1.0,false,4.7908333039990225,764642.9167844288,24.02270578351548,1.024779196839194,7,1.4884148488921032,8.195536642157611,25.14600000000001,5.053085470073743,35.4602489127982
"(1, 9, 8, 10, 1, 8, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.4166666666666667,1.0e30,1.0,false,4.81116417295024,766999.8678748959,24.132427217152276,1.02901959146336,7,1.890016626278164,8.207199860241873,25.14600000000001,5.060845821406072,35.5147075186391
"(1, 9, 8, 10, 1, 9, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.4527777777777778,1.0e30,1.0,false,4.835252272533601,769806.8437675196,24.263311811502113,1.0340437075148359,7,2.382684689978695,8.221066308224405,25.14600000000001,5.070072135044254,35.57945357925792
"(1, 9, 8, 10, 1, 10, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.4888888888888889,1.0e30,1.0,false,4.86391811134417,773167.2002741591,24.4203044724805,1.040022720445689,7,2.991949076084787,8.23763279796918,25.14600000000001,5.081094974524241,35.656806838766606
"(1, 9, 8, 10, 1, 11, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.525,1.0e30,1.0,false,4.8982699327259365,777221.8587115051,24.610175840887777,1.0471878259970473,7,3.7536237132492407,8.257573719498648,25.14600000000001,5.094363058499102,35.7499161999937
"(1, 9, 8, 10, 1, 12, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.5611111111111111,1.0e30,1.0,false,4.9398415012285195,782168.2462885588,24.842457645368494,1.0558613575427385,7,4.719215751942876,8.281829047863157,25.14600000000001,5.1105018178389106,35.86317065150113
"(1, 9, 8, 10, 1, 13, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.5972222222222222,1.0e30,1.0,false,4.990800750075397,788288.2581046196,25.130842797916696,1.0664941197320081,7,5.965027039602116,8.311732316758576,25.14600000000001,5.130398545391893,36.00279680976767
"(1, 9, 8, 10, 1, 14, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.6333333333333333,1.0e30,1.0,false,5.054326712912919,796001.2940675048,25.49584984219228,1.0797491948705464,7,7.608250721137255,8.34925291093374,25.14600000000001,5.155363609998714,36.17799024560502
"(1, 9, 8, 10, 1, 15, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.6694444444444444,1.0e30,1.0,false,5.135269422141331,805957.6421365356,25.969572582791685,1.0966387707775946,7,9.837009946817993,8.397416161436434,25.14600000000001,5.187409975119184,36.402877018380245
"(1, 9, 8, 10, 1, 16, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.7055555555555556,1.0e30,1.0,false,5.241412135417211,819220.7338828131,26.605078332606524,1.1187873580850942,7,12.970426350611676,8.461112388935678,25.14600000000001,5.229791511704285,36.70029131020551
"(1, 9, 8, 10, 1, 17, 20, 2, 1)",nacelle,2.54,10.1,1.0,2,0.7416666666666667,1.0e30,1.0,false,5.3860938744067095,837654.5847841622,27.496721619837356,1.148979710126929,7,17.58966531003456,8.548785765873662,25.14600000000001,5.288126715814771,37.10966116361243
