index,sigma_fcs,span_loc,fcs_loc,wing_frac,nacelle_frac,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,L_fuse,span,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
"(1, 1, 1, 1, 1)",3250.0,-1.0,0.0,0.0,0.2,3.618616081192392,480792.50332954637,13.292589790254457,1.087125206276003,6,0.6512081853470316,18.389599999999994,31.31402832363913,0.0,37.137429599077535,2.3754093846760448e7,187937.2194762895,81591.51550919493,5787.484271093941,3337.362645518175,25553.58030521883,0.0,757.664278950186,7142.398664189627,13238.187620748844,20415.17154779836,56.43248529853314,1.1269510928461308,1.145930960128103,0.8180423117549684,0.16167674710484334,0.11513543356055193
"(1, 1, 2, 1, 1)",3250.0,-1.0,0.05263157894736842,0.0,0.2,3.6717183702136196,486293.2608643546,13.513214943125847,1.1097360609511933,6,0.6651027162654365,18.389599999999994,31.492026449490645,0.0,37.23289199210209,2.4085465532506675e7,189406.20267286335,83057.94418555469,6230.83075503574,3839.3816812656096,25638.839314181463,0.0,784.1019993648771,7239.141421156438,13518.964055824266,20770.866723889052,57.07586631162549,1.1295356115890358,1.1553870558640416,0.8378041662024664,0.16928571429683323,0.125527254943736
"(1, 1, 3, 1, 1)",3250.0,-1.0,0.10526315789473684,0.0,0.2,3.6880619248760054,487941.7221402986,13.579435563134219,1.116348540455474,6,0.669397281031507,18.389599999999994,31.54517472783014,0.0,37.2608273642749,2.418769289476591e7,189851.17653433903,83504.58429161794,6379.6565386223565,3966.9502273306475,25663.713705145976,0.0,800.262535684603,7268.539731659181,13604.407194126701,20879.345342606746,57.26867980365831,1.1302945122021513,1.1590049949988346,0.8436921036076559,0.17179425478450855,0.12808312076196599
"(1, 1, 4, 1, 1)",3250.0,-1.0,0.15789473684210525,0.0,0.2,3.7073237628468934,489838.8081611678,13.655775011934644,1.1238803159466835,6,0.6744689305434567,18.389599999999994,31.606228470229947,0.0,37.29265585459687,2.4308341136033133e7,190370.26533625115,84019.47332876473,6553.031135832198,4104.926134042005,25692.01638800949,0.0,821.5768394526694,7302.340138685406,13702.963424246836,21004.433231106043,57.49057433129783,1.131160735428711,1.1634053175187256,0.8508685421683351,0.17468919938883842,0.1308122857600333
"(1, 1, 5, 1, 1)",3250.0,-1.0,0.21052631578947367,0.0,0.2,3.7300237460170145,492031.37657723494,13.744189090046428,1.1325623236632105,6,0.6804607552536602,18.389599999999994,31.676640126130305,0.0,37.32935731142932,2.445063686619177e7,190976.9883083587,84614.98987566744,6754.39228053354,4254.998473013102,25724.627909274524,0.0,848.9426962500859,7341.318202436231,13817.055336905643,21149.121504747356,57.74701211354122,1.132161766529929,1.1687147631404993,0.859595504678785,0.1780158039765899,0.1337410943067246
"(1, 1, 6, 1, 1)",3250.0,-1.0,0.2631578947368421,0.0,0.2,3.7565787831443918,494552.0851288275,13.84607695679576,1.1424707300984567,6,0.6874910858018635,18.389599999999994,31.75739062328946,0.0,37.3712587307912,2.4617255304424692e7,191681.91519321944,85300.31277379609,6987.285182424944,4418.95031564685,25761.813030801706,0.0,883.2610042871074,7386.032816790848,13948.487495780604,21315.636218260905,58.04180622908554,1.1333076978373808,1.175029912713114,0.8700879550277079,0.1818174930442464,0.13689587452529975
"(1, 1, 7, 1, 1)",3250.0,-1.0,0.3157894736842105,0.0,0.2,3.7876986218350055,497453.6099181237,13.963690780809008,1.1537639709908913,6,0.6957588011005608,18.389599999999994,31.850083997032833,0.0,37.41903614972871,2.481271998008741e7,192502.45446988143,86089.77365598571,7256.29369082272,4599.162248997179,25804.14840135897,0.0,925.6431210095566,7437.356062898713,14100.080328187212,21507.450489098672,58.38112519881527,1.1346186674129073,1.1824965586968352,0.882754599655331,0.18615030813667513,0.14031220649288229
"(1, 1, 8, 1, 1)",3250.0,-1.0,0.3684210526315789,0.0,0.2,3.824118243833581,500797.27950754773,14.09966469737759,1.1666537227637883,6,0.7054746240100848,18.389599999999994,31.956561971053635,0.0,37.47359267076774,2.5041684810177807e7,193457.3284377002,87000.28950248363,7567.174803443564,4798.550945996506,25852.41338737746,0.0,977.4065320169062,7496.316976288617,14275.17178529634,21728.65582834672,58.772125410404314,1.1361218944479752,1.191283916127753,0.8979770566629296,0.1910834880471087,0.1440328222324853
"(1, 1, 9, 1, 1)",3250.0,-1.0,0.42105263157894735,0.0,0.2,3.8666884631073013,504656.35628415877,14.257176718128015,1.1813900465888865,6,0.7168865461688017,18.389599999999994,32.079005769710605,0.0,37.53599659535756,2.5309533290453188e7,194568.40585446174,88052.32813081803,7927.139808861235,5020.763612341473,25907.529203420738,0.0,1040.1130001927913,7564.153117333437,14477.812192939455,21984.19848446131,59.223367244615,1.1378505578639309,1.201594121155318,0.9161815491707843,0.19670189395952892,0.1481101866694815
"(1, 1, 10, 1, 1)",3250.0,-1.0,0.47368421052631576,0.0,0.2,3.9164815378722717,509123.55977301166,14.44027955365923,1.1982863580811662,6,0.7303106379935479,18.389599999999994,32.2201557008976,0.0,37.60758763247466,2.562305241398617e7,195863.2050911613,89271.93427619193,8345.409613872414,5270.4940272575495,25970.649007935423,0.0,1115.648419499372,7642.428649600968,14713.16984913165,22280.3689761205,59.74568799202702,1.1398477811406742,1.2136812460700779,0.937904914061386,0.20311189012229072,0.15261078349867852
