study_idx,index,sigma_fcs,span_loc,fcs_loc,wing_frac,nacelle_frac,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,L_fuse,span,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
2,"(1, 1, 1, 1, 1)",4000.0,eng,-1.0,1.0,0.2,3.468265248274136,402690.7302271833,10.254395833259432,1.0679695940276746,6,0.6102737681540354,18.389599999999994,28.671019315660708,0.0,37.056631648435285,1.4925438308737868e7,113768.87518026528,63477.66163616521,8057.816033037116,3386.511175224571,25594.671638229524,0.0,1859.1726533810468,5593.320261975644,24304.904469744295,16482.461928837136,47.3083241219856,1.1247731484378416,0.972154282446284,0.8154405451187664,0.198717805061768,0.1161781049718966
2,"(1, 1, 1, 1, 2)",4000.0,eng,-1.0,1.0,0.24210526315789474,3.4621280758543156,402350.8291857359,10.242031591722624,1.0658307538509233,6,0.6087186316916815,18.389599999999994,28.658971235314706,0.0,37.047614593690525,1.4899949809316143e7,113766.85616714727,63388.47195593626,8005.646258365537,3368.633418006499,25586.28591747794,0.0,1878.1709411057234,5587.619943750125,23494.60164368424,16459.55783838145,47.26857285071109,1.1245305815290116,0.9710904711503238,0.8121718368495869,0.19791447127125963,0.1157995092225692
2,"(1, 1, 1, 1, 3)",4000.0,eng,-1.0,1.0,0.28421052631578947,3.456114931646852,402017.6953662113,10.229919951125067,1.0637282930956111,6,0.6071962126486009,18.389599999999994,28.647158128509062,0.0,37.03875182117396,1.4874976460534675e7,113765.3281350641,63301.02040567385,7954.442754567632,3351.022855126547,25578.04075672234,0.0,1897.3222507740152,5582.027095454674,22687.699781613926,16437.098837119152,47.229613070032215,1.1242922563815274,0.9700485260401428,0.8089755293152121,0.19712411158605103,0.11542581823097431
2,"(1, 1, 1, 1, 4)",4000.0,eng,-1.0,1.0,0.3263157894736842,3.450231927178228,401692.7336117336,10.21811266607828,1.0616789256667247,6,0.6057080156110329,18.389599999999994,28.635630048408956,0.0,37.03011373089585,1.485054429796399e7,113764.43102317033,63215.62562806322,7904.249922398753,3333.69170424683,25570.00440990583,0.0,1916.6613070494907,5576.564411248499,21884.199597056195,16415.162259640034,47.19160879686784,1.1240600591363465,0.9690314837180974,0.805851354198217,0.1963475041649067,0.11505732056126003
2,"(1, 1, 1, 1, 5)",4000.0,eng,-1.0,1.0,0.3684210526315789,3.4444685853334955,401374.5507006217,10.206557913678182,1.0596679656558432,6,0.6042512778731425,18.389599999999994,28.624337955940568,0.0,37.02163836752392,1.4826609214507692e7,113764.04244957518,63131.96205710688,7854.9890912389465,3316.6178018817004,25562.117279962942,0.0,1936.1633792194882,5571.209628571794,21083.922716201705,16393.668041119035,47.15439732711427,1.1238323175978508,0.9680360830785547,0.8027959919054527,0.19558352267558657,0.11469357379182794
2,"(1, 1, 1, 1, 6)",4000.0,eng,-1.0,1.0,0.4105263157894737,3.43881698381213,401062.58705543086,10.195234548003215,1.0576904787171524,6,0.6028239321508337,18.389599999999994,28.613262116560453,0.0,37.01330488972215,1.4803138380507402e7,113764.12062504799,63049.897982567156,7806.620247464081,3299.7892720094164,25554.35948144804,0.0,1955.8215100845407,5565.9543736759315,20286.743801600285,16372.58302248001,47.11791274621136,1.123608466389901,0.9670609290223477,0.799804731650043,0.19483163006932078,0.1143343512158356
2,"(1, 1, 1, 1, 7)",4000.0,eng,-1.0,1.0,0.45263157894736844,3.4332740836656233,400756.69639750523,10.184137030808063,1.0557456907754474,6,0.6014251393028165,18.389599999999994,28.602397651972726,0.0,37.005110015874656,1.4780119119300326e7,113764.65903252849,62969.39568065576,7759.1218316936765,3283.1998475725977,25546.728036422104,0.0,1975.6366325935537,5560.7964394215005,19492.575868622684,16351.897607516374,47.08213816685508,1.123388412544902,0.9661055843874627,0.796875614532993,0.19409157213081926,0.1139795447815809
2,"(1, 1, 1, 1, 8)",4000.0,eng,-1.0,1.0,0.49473684210526314,3.427837424590156,400456.74614924466,10.173260242651686,1.0538328946357747,6,0.6000542121207443,18.389599999999994,28.59174005833914,0.0,36.99705071822743,1.4757541165283373e7,113765.65187539686,62890.420326640866,7712.472944745114,3266.843615931161,25539.22021542671,0.0,1995.609881225326,5555.7337347818075,18701.33603169874,16331.60284561159,47.04705797413414,1.1231720701992514,0.9651696363121516,0.7940071810859762,0.19336310055319655,0.1136290523544116
2,"(1, 1, 1, 1, 9)",4000.0,eng,-1.0,1.0,0.5368421052631579,3.4225046199291147,400162.6094566961,10.162599251490027,1.051951418055878,6,0.5987105060315416,18.389599999999994,28.581284991219224,0.0,36.989124115677555,1.4735394795594852e7,113767.09372669549,62812.93846960046,7666.653313084312,3250.714892169359,25531.83342428026,0.0,2015.7424531924887,5550.764243150133,17912.9440004215,16311.690103635381,47.01265711461008,1.1229593576909704,0.9642526850071277,0.7911980086341537,0.19264597329486277,0.11328277550895999
2,"(1, 1, 1, 1, 10)",4000.0,eng,-1.0,1.0,0.5789473684210527,3.417273483487076,399874.1687756735,10.152149679790387,1.0501006319930308,6,0.5973934010044497,18.389599999999994,28.57102861817544,0.0,36.98132756993942,1.4713670795769356e7,113768.97955582486,62736.91932634628,7621.6440286137495,3234.8082647097876,25524.565273935,0.0,2036.0354772536461,5545.886132658295,17127.32291078004,16292.151658830307,46.97892225388264,1.122750200119557,0.9633543733747246,0.7884467931464432,0.1919399681380521,0.11294062161289332
2,"(1, 1, 1, 1, 11)",4000.0,eng,-1.0,1.0,0.6210526315789474,3.4121417805023992,399591.3033587899,10.141906837626447,1.0482798877967283,6,0.5961022729087675,18.389599999999994,28.56096678742718,0.0,36.973658265759084,1.4692359819704564e7,113771.30416559488,62662.33104661151,7577.426321591402,3219.1184305762567,25517.413227999565,0.0,2056.490109338799,5541.097473087557,16344.396931877687,16272.979265244754,46.9458390396457,1.1225445180673572,0.9624743229870124,0.7857522144304264,0.19124486050374928,0.11260249851088053
