index,sigma_fcs,span_loc,fcs_loc,wing_frac,nacelle_frac,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,L_fuse,span,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
"(1, 1, 1, 1, 1)",3250.0,0.0,-1.0,1.0,0.2,3.905888550073092,510275.67630491225,14.498713996272581,1.1940818673882123,6,0.7275235320100665,18.389599999999994,32.25639544765761,0.0,37.5897688858354,2.5559165609032195e7,116463.44365060022,89149.78639221183,8144.691363423053,5208.081229801259,25952.00495045917,149.4803034891916,2929.970804029641,7570.622371677911,55229.85451737736,22324.018335885343,59.88016196936546,1.1393491328680077,1.2152931517971677,0.9310129083317796,0.20005124848854908,0.1514937967408441
"(1, 2, 1, 1, 1)",3250.0,0.05263157894736842,-1.0,1.0,0.2,3.8967164323776413,508279.0945408058,14.436387833200216,1.191333062918942,6,0.725005446741358,18.389599999999994,32.19349324391454,0.0,37.578120875711136,2.549982623068833e7,116409.55546487794,87747.63042354798,8130.318175248963,5167.861286285235,25943.381993596016,145.78904638314023,2913.0045389325987,7295.836535865941,54823.623663175174,22209.87489448115,59.64684875897749,1.1390237439105901,1.210724226919053,0.9282538292673831,0.19983100383869748,0.1507712703882471
"(1, 3, 1, 1, 1)",3250.0,0.10526315789473684,-1.0,1.0,0.2,3.887663213283109,506307.5785134224,14.375029045069128,1.1886204945882186,6,0.7225228350432169,18.389599999999994,32.13125987262416,0.0,37.566627494873906,2.5441253758089386e7,116356.52299962332,86362.5153269559,8116.201242729455,5128.284907941339,25934.882508507984,142.16461573160188,2896.323948998312,7023.496135865885,54423.087724897465,22097.32899747756,59.41646452622032,1.138703103843495,1.2062126619920772,0.9255309303272662,0.19961454412938065,0.1500581981443797
"(1, 4, 1, 1, 1)",3250.0,0.15789473684210525,-1.0,1.0,0.2,3.895166380108782,505679.82107392245,14.368763358395526,1.1915548022090876,6,0.7244988362653506,18.389599999999994,32.111446735007505,0.0,37.57906046944086,2.5486744268009514e7,116296.95262659046,85346.73402720546,8247.983613345657,5171.278680914684,25947.68163783844,138.5700762217801,2801.2522648446065,6773.875244454433,54259.91332097662,22076.033791620157,59.343211025692064,1.1390499751893208,1.2054418184236397,0.9302156753803694,0.20162977420424608,0.1508327455113771
"(1, 5, 1, 1, 1)",3250.0,0.21052631578947367,-1.0,1.0,0.2,3.9076690821015116,505453.604771341,14.379029075376765,1.1961416399218143,6,0.7278250470365226,18.389599999999994,32.104328622175785,0.0,37.598497870218765,2.5563689992344107e7,116243.82169232689,84436.92700893707,8422.326471173174,5236.2085961239845,25966.708280963794,135.10795198744393,2692.551568140779,6530.134879024346,54167.15873925213,22081.748144591336,59.31690483914291,1.139593273669669,1.2058065088853107,0.9372368159391903,0.2042774403430912,0.1519978170752438
"(1, 7, 1, 1, 1)",3250.0,0.3157894736842105,-1.0,1.0,0.2,3.937561519837772,505384.0519431186,14.415561707357647,1.2068132296691105,6,0.7358153495474876,18.389599999999994,32.10220046692248,0.0,37.64373204310677,2.5748392589383185e7,116165.08156182463,82707.20224522975,8808.889348099574,5379.871317300962,26010.396660830163,128.63801562039038,2487.095746873803,6045.883210400751,54047.45679954818,22118.27142339686,59.30904101491344,1.1408627313842001,1.2076576880557623,0.9538294347216149,0.21007598026407961,0.15455613026766338
"(1, 8, 1, 1, 1)",3250.0,0.3684210526315789,-1.0,1.0,0.2,3.661634962562386,448723.3679843599,12.709024580794496,1.1238601643206674,6,0.6611802080360587,18.389599999999994,30.257194154245212,0.0,37.29257054084351,2.3966404147988632e7,114792.04479650104,43655.91265981689,8178.054946845271,4172.374355379346,25750.635320301757,38.93555625258062,2202.9481571780143,4574.7983825706015,7171.1029414661,48113.93500235066,52.687622423648705,1.1311584112826576,1.0767336567197539,0.867797471008599,0.20056192877290155,0.13213359527576102
"(1, 9, 1, 1, 1)",3250.0,0.42105263157894735,-1.0,1.0,0.2,3.6488343518437136,443425.4982158325,12.573646343508193,1.1208397219765907,6,0.6576899099089427,18.389599999999994,30.078923538729335,0.0,37.279805669887764,2.3879878169710618e7,114648.31807817773,39280.65382374187,8274.405178421177,4111.7390823369,25746.436297246306,29.310168134437532,2108.0291201269256,4342.137538743758,6500.114399474166,46695.00149523043,52.068597089623104,1.1308108074676564,1.0653138416998698,0.8673094035078321,0.2020323605664099,0.13094612631974542
"(1, 20, 1, 1, 1)",3250.0,1.0,-1.0,1.0,0.2,3.895071141563094,507920.85427291057,14.425224906835947,1.1908400493223397,6,0.7245540569307733,18.389599999999994,32.18219393951547,0.0,37.57603186528954,2.5489181671941582e7,116399.90582997666,87495.98283737368,8127.747661211198,5160.659702011792,25941.83648636469,145.1289415160095,2909.9681321544704,7246.423778290545,54750.799363349375,22189.41232802103,59.60498628568177,1.1389654337813928,1.2099044446455396,0.9277589586157378,0.19979160009401062,0.15064167144410964
