study_idx,index,sigma_fcs,span_loc,fcs_loc,wing_frac,nacelle_frac,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,L_fuse,span,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
2,"(1, 1, 1, 1, 1)",4000.0,eng,-1.0,1.0,0.2,3.4548337336774133,401864.00131739356,10.224508752863063,1.0632797808636216,6,0.6068691918751422,18.389599999999994,28.641709926628756,0.0,37.0368612655747,1.4869605102563553e7,113737.66017743439,63253.22960266768,7913.900264938552,3356.2130307752836,25576.43566197329,0.0,1869.5807028307427,5578.618481809434,24210.053252900383,16425.02633654707,47.21165024126059,1.1242414298466052,0.9696913755846109,0.8086993101052659,0.19649696161657787,0.1155360303014831
2,"(1, 1, 1, 1, 2)",4000.0,eng,-1.0,1.0,0.24210526315789474,3.4477902990853093,401474.9618133908,10.210376561866262,1.0608296438838805,6,0.605087913423492,18.389599999999994,28.627905508186792,0.0,37.026534256506594,1.4840353704002945e7,113736.39620712082,63151.00800861343,7853.893764359551,3335.415558756852,25566.828651266627,0.0,1892.5465042385033,5572.077643792193,23396.8167662204,16398.76635894547,47.16615209745331,1.1239638652713053,0.9684734607047205,0.804960220404427,0.1955665149035396,0.1150940062462956
2,"(1, 1, 1, 1, 3)",4000.0,eng,-1.0,1.0,0.28421052631578947,3.440914447553658,401095.1589715495,10.196588436487527,1.0584295214025585,6,0.6033506997267019,18.389599999999994,28.614422398649516,0.0,37.01641925172006,1.4811798265060253e7,113735.81935540865,63051.15611824412,7795.19649725889,3314.980410448769,25557.415064663295,0.0,1915.7370943020971,5565.683884852424,22587.643021488562,16373.112902592382,47.12173413354287,1.1236921144254823,0.9672854743429289,0.801318249255408,0.19465379443235228,0.11465865267738541
2,"(1, 1, 1, 1, 4)",4000.0,eng,-1.0,1.0,0.3263157894736842,3.4341970148488077,400724.1903420298,10.18312890650898,1.0560769639435288,6,0.6016551470626877,18.389599999999994,28.601246609070145,0.0,37.00650586556391,1.4783901129296666e7,113735.90845432403,62953.5759090745,7737.764820023043,3294.894334941088,25548.185261523548,0.0,1939.151941760796,5559.43157865514,21782.374993750713,16348.040655677141,47.07834880127936,1.1234258896060374,0.9661262950452291,0.7977669724088604,0.1937582636791308,0.11422973210496391
2,"(1, 1, 1, 1, 5)",4000.0,eng,-1.0,1.0,0.3684210526315789,3.4276334785162965,400361.81707577826,10.169988765481236,1.053770692321965,6,0.5999999770656715,18.389599999999994,28.588370030553698,0.0,36.996788639791674,1.475664322636236e7,113736.65290589276,62858.20510403717,7681.562090803742,3275.1468802918503,25539.13431133261,0.0,1962.792850514472,5553.317013308814,20980.88427575978,16323.53362193625,47.03596801959774,1.1231650361837324,0.9649951872009965,0.7943036568598404,0.19287948722442297,0.11380706406996172
2,"(1, 1, 1, 1, 6)",4000.0,eng,-1.0,1.0,0.4105263157894737,3.4212198769344417,400007.8287220305,10.157160034072534,1.0515095946689044,6,0.5983841013687458,18.389599999999994,28.575785677593156,0.0,36.98726284556595,1.4730008260717781e7,113738.04366384231,62764.98814098418,7626.554274021891,3255.728342034181,25530.257948934264,0.0,1986.6618137683618,5547.336854437726,20183.050254929636,16299.577698937203,46.994567481942134,1.1229094196696796,0.9638915007389731,0.7909259303550082,0.19201706463657445,0.1133904825593757
2,"(1, 1, 1, 1, 7)",4000.0,eng,-1.0,1.0,0.45263157894736844,3.414952271256329,399662.01326248975,10.144634547814627,1.0492925357443479,6,0.5968064204861597,18.389599999999994,28.563486354696046,0.0,36.977923627592766,1.4703979789394177e7,113740.07157134563,62673.86936189364,7572.7079894166645,3236.629252386282,25521.551794058276,0.0,2010.7607844685851,5541.487758050593,19388.754955773766,16276.158596085314,46.954122261823564,1.1226589026909775,0.9628145756478412,0.7876314557342384,0.191170598315778,0.11297982400481792
2,"(1, 1, 1, 1, 8)",4000.0,eng,-1.0,1.0,0.49473684210526314,3.408826886171497,399324.1692625415,10.132404547071513,1.0471184400275444,6,0.5952659009159407,18.389599999999994,28.551465220159404,0.0,36.96876640389699,1.4678542258060439e7,113742.728096803,62584.79588865448,7519.9911586727685,3217.84055100488,25513.01171257311,0.0,2035.0917768272684,5535.766547772714,18597.884846678226,16253.26274387264,46.91460866469531,1.1224133556844946,0.9617637817555021,0.784417985063951,0.19033970497737857,0.11257493166472426
2,"(1, 1, 1, 1, 9)",4000.0,eng,-1.0,1.0,0.5368421052631579,3.4028401938314445,398994.10767606704,10.120462896218346,1.044986292921131,6,0.5937615564736534,18.389599999999994,28.539715991137346,0.0,36.959786866881785,1.4653680919556202e7,113746.00527422139,62497.71805043498,7468.3736492135395,3199.353638023758,25504.633809589028,0.0,2059.65677319331,5530.170243364175,17810.331243672143,16230.877543464574,46.87600489686978,1.1221726568843458,0.9607385369316153,0.7812834174385069,0.18952402727368972,0.11217565752826889
2,"(1, 1, 1, 1, 10)",4000.0,eng,-1.0,1.0,0.5789473684210527,3.3969887042586913,398671.6412429879,10.10880238783539,1.0428950859392858,6,0.5922924211941635,18.389599999999994,28.52823228526692,0.0,36.95098069055181,1.462938125124014e7,113749.89526843543,62412.58662116211,7417.826029654393,3181.160178806934,25496.414179816602,0.0,2084.457792069694,5524.695874294824,17025.988168404558,16208.990330850731,46.83828889779435,1.1219366844399574,0.95973825557038,0.7782256830652353,0.18872321227477928,0.11178185690121663
2,"(1, 1, 1, 1, 11)",4000.0,eng,-1.0,1.0,0.6210526315789474,3.39126905841282,398356.59064214467,10.097416128664593,1.040843853120905,6,0.5908575759978758,18.389599999999994,28.517007997143963,0.0,36.942343757439914,1.4605629366140874e7,113754.39069082042,62329.35467065891,7368.319840964742,3163.2521401382887,25488.349103292112,0.0,2109.496873819601,5519.340618203092,16244.753365339413,16187.58906433215,46.80143957447714,1.1217053224715483,0.9587623758298789,0.7752427866740702,0.18793691725884593,0.11139339001424346
2,"(1, 1, 1, 1, 12)",4000.0,eng,-1.0,1.0,0.6631578947368421,3.3856781188660534,398048.7874417267,10.086297804212311,1.0388316774828605,6,0.5894561414487929,18.389599999999994,28.50603754369037,0.0,36.93387221142284,1.4582412083728652e7,113759.48467929233,62247.978120290296,7319.8283442848115,3145.6218941452294,25480.435085744968,0.0,2134.7760324636793,5514.101835082567,15466.528776874306,16166.662596292523,46.76543760288322,1.1214784624538519,0.9578103799090717,0.7723328623610173,0.18716482298638493,0.11101012501401808
