index,sigma_fcs,span_loc,fcs_loc,wing_frac,nacelle_frac,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,L_fuse,span,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
"(1, 1, 1, 1, 1)",3250.0,-1.0,eng,0.0,0.2,3.743738089531045,493338.6668164398,13.796997386537466,1.1377128129795422,6,0.6840887442427723,18.389599999999994,31.718545111404172,0.0,37.35113603366335,2.4536665476882987e7,191341.6309602947,84970.32585263682,6875.011648670759,4340.995842674919,25743.96211042314,0.0,866.4041309045884,7364.521113592187,13885.183919618632,21235.458003784148,57.89990006603224,1.1327569527507741,1.1719661433580462,0.8649781244575904,0.17999077242257683,0.13540156434557332
"(1, 1, 1, 1, 2)",3250.0,-1.0,eng,0.0,0.24210526315789474,3.740838460893536,492710.09417584137,13.778597185342594,1.1368414773298565,6,0.683308695307316,18.389599999999994,31.698419678329095,0.0,37.34745129767653,2.45179169748292e7,187200.99305608025,84497.74505154986,6871.522894882464,4330.303647498441,25741.225221366916,0.0,887.6672876425786,7268.255879081527,13780.548898873683,21200.067850138752,57.826448343670464,1.1326561898294518,1.1705272030483724,0.8640634501302801,0.1799338317030276,0.13519580625571093
"(1, 1, 1, 1, 3)",3250.0,-1.0,eng,0.0,0.28421052631578947,3.738010087721875,492096.4666956554,13.76080073464801,1.1359918892842935,6,0.682548095128166,18.389599999999994,31.678760424696446,0.0,37.34385865009318,2.4499628491083514e7,183073.90330558256,84029.97254973887,6868.154439668355,4319.893572072186,25738.558428673994,0.0,914.6636206126502,7172.463574118023,13676.983903783714,21165.538884910322,57.754743047398506,1.1325579703069293,1.169122544358871,0.8631715358880464,0.17987884413802263,0.13499529000228455
"(1, 1, 1, 1, 4)",3250.0,-1.0,eng,0.0,0.3263157894736842,3.7352582641531944,491498.8899629371,13.743653152850175,1.135165648741941,6,0.6818083259843446,18.389599999999994,31.65960372005406,0.0,37.34036485128497,2.4481833911133785e7,178960.79652672564,83567.23422599543,6864.91488390269,4309.785093618404,25735.966765612844,0.0,947.9502007969558,7077.156070010096,13574.528678420698,21131.93250893808,57.68491354570743,1.1324624768618679,1.1677547102448131,0.8623040890902015,0.17982595148684635,0.13480040586909245
"(1, 1, 1, 1, 5)",3250.0,-1.0,eng,0.0,0.3684210526315789,3.732589067859655,490918.6369572888,13.727206245812985,1.1343646127931442,6,0.6810910038199722,18.389599999999994,31.64099123605307,0.0,37.336977738552925,2.446457257653265e7,174862.1820406969,83109.79202013055,6861.814057068616,4300.000681675988,25733.456088702213,0.0,988.1656530765425,6982.347284129573,13473.22954253001,21099.319318415746,57.6171082793446,1.1323699214996645,1.1664266180514433,0.8614630628417412,0.17977531494688198,0.13461160239800965
"(1, 1, 1, 1, 6)",3250.0,-1.0,eng,0.0,0.4105263157894737,3.7300095721575426,490357.18367601384,13.711520322545528,1.1335909421776682,6,0.6803980080238209,18.389599999999994,31.622971365330347,0.0,37.33370644101254,2.4447890219140682e7,170778.65881762496,82657.95239397185,6858.863534919426,4290.566458031144,25731.033225075054,0.0,1036.045542631936,6888.0537124774755,13373.14114679585,21067.781466642755,57.55149989261497,1.1322805514028869,1.1651416610557528,0.8606507324628283,0.1797271249584495,0.1344294002797626
"(1, 1, 1, 1, 7)",3250.0,-1.0,eng,0.0,0.45263157894736844,3.727527941535083,489816.23709732085,13.69666510769235,1.1328471162808973,6,0.6797314922925597,18.389599999999994,31.605599950907223,0.0,37.33056143037901,2.443183935351181e7,166710.9292226344,82212.07176125326,6856.076629928135,4281.512727212057,25728.70599353408,0.0,1092.441317701884,6794.294701607172,13274.327326291223,21037.413973290866,57.48828784668311,1.132194650297222,1.1639037594725654,0.8598697256255431,0.1796816001617119,0.1342544021071113
"(1, 1, 1, 1, 8)",3250.0,-1.0,eng,0.0,0.49473684210526314,3.725153743400059,489297.7952583125,13.682722293066956,1.1321360594567609,6,0.6790940053225591,18.389599999999994,31.58894228703674,0.0,37.32755506118842,2.4416481872857533e7,162659.82371058944,81772.56986369811,6853.469041483937,4272.875021063347,25726.483642737356,0.0,1158.343967791391,6701.093222321801,13176.863633654548,21008.3281992934,57.42770565738827,1.1321125531857905,1.1627175027077563,0.8591231176271344,0.17963899832134098,0.13408731296285953
"(1, 1, 1, 1, 9)",3250.0,-1.0,eng,0.0,0.5368421052631579,3.722898193945147,488804.19951540744,13.669787646068363,1.131461187814096,6,0.6784885263796818,18.389599999999994,31.57307477770328,0.0,37.32470176181886,2.4401890173044596e7,158626.32507427916,81339.94090725899,6851.059134141435,4264.695082130598,25724.376969511883,0.0,1234.9135252535784,6608.476493792406,13080.839352905543,20980.654718134832,57.370026879471425,1.1320346515403805,1.1615882668998343,0.8584145226946621,0.17959962069432525,0.13392895949539838
"(1, 1, 1, 1, 10)",3250.0,-1.0,eng,0.0,0.5789473684210527,3.7207745332326194,488338.213379691,13.657974325326066,1.1308265321870865,6,0.6779185701970339,18.389599999999994,31.55808753505734,0.0,37.32201856369258,2.438814962867192e7,154611.60269089305,80914.77087315649,6848.8686809356295,4257.022288991406,25722.398721635403,0.0,1323.516375152742,6516.476979663101,12986.36073860472,20954.54782789133,57.315574505204566,1.1319614077281035,1.1605223998310252,0.8577482045997697,0.17956382446684,0.13378031790487668
