index,sigma_fcs,span_loc,fcs_loc,wing_frac,nacelle_frac,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,L_fuse,span,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
"(1, 1, 1, 1, 1)",4000.0,eng,-1.0,1.0,0.2,3.777167484084698,469242.2196429268,12.908549687885063,1.1594835288301553,6,0.69199197354803,18.389599999999994,30.938083944177198,0.0,37.44324138733131,2.47082015337939e7,115244.71832382517,75364.04221879387,8587.843500996705,4652.608004101697,25866.820663197283,66.90527074236101,2212.5334944720416,5772.754837651209,43680.277276533576,20087.739309436627,55.08560504658549,1.135284743965658,1.1251819368847795,0.9081234876237211,0.20677216885948643,0.14131547541069805
"(1, 1, 1, 1, 2)",4000.0,eng,-1.0,1.0,0.24210526315789474,3.7631319107048715,468240.2744653532,12.868766849144235,1.1547371239963793,6,0.6882765058051263,18.389599999999994,30.905166533006728,0.0,37.42315421992182,2.4620155882612616e7,115235.95953347406,75109.09647486753,8466.254652461772,4596.514410427669,25848.72392232006,66.93328526656757,2257.85764723276,5759.144537462508,41848.43419198686,20020.333653184814,54.96844776739512,1.1347318941137055,1.1222661826280045,0.9013068970910293,0.2049413145532566,0.14026238664591759
"(1, 1, 1, 1, 3)",4000.0,eng,-1.0,1.0,0.28421052631578947,3.749681998843884,467280.96609075053,12.830722007144395,1.150166406149075,6,0.684722396197592,18.389599999999994,30.87361644601269,0.0,37.40381398102191,2.4535803021899443e7,115229.93110679048,74864.88371174612,8349.48871028957,4542.298593727971,25831.287247766842,66.99342816147154,2303.981507970664,5746.090325423358,40034.92423863451,19955.75563198257,54.85627402567066,1.1342004572749413,1.1194777332793595,0.8947973804107798,0.20317380314825872,0.1392398588939152
"(1, 1, 1, 1, 4)",4000.0,eng,-1.0,1.0,0.3263157894736842,3.7367882529656056,466362.16811219254,12.794325488398933,1.145762748748672,6,0.6813210691346816,18.389599999999994,30.843367829745358,0.0,37.38518387996206,2.445495675848827e7,115226.54184357276,74630.8571193605,8237.285644505006,4489.854893030893,25814.478413122106,67.08408973391548,2350.9150938657526,5733.564973417831,38238.68559640019,19893.86131522134,54.748835137315886,1.133689296049792,1.1168105147703484,0.8885790533440319,0.2014666310016413,0.13824629256586235
"(1, 1, 1, 1, 5)",4000.0,eng,-1.0,1.0,0.3684210526315789,3.724423711823392,465481.94240232126,12.75949579789767,1.1415182875038652,6,0.6780647143151792,18.389599999999994,30.81436071323047,0.0,37.36723025771643,2.437744714716361e7,115225.7094902629,74406.5174026761,8129.407635318193,4439.086675816932,25798.267934037103,67.2038195587205,2398.668703640264,5721.543508003003,36458.73417515673,19834.51940048973,54.64590480432215,1.1331973768449621,1.1142589907839868,0.8826373853779521,0.19981704676673248,0.13728022236619022
"(1, 1, 1, 1, 6)",4000.0,eng,-1.0,1.0,0.4105263157894737,3.712563169984085,464638.4772324102,12.726156749009773,1.1374256334331458,6,0.674946040218387,18.389599999999994,30.786538794429617,0.0,37.349921591767796,2.4303115080806386e7,115227.35835782504,74191.39936492156,8025.633308414572,4389.904319379982,25782.628172605946,67.35127255744676,2447.2529267806444,5710.002702529191,34694.14765359349,19777.60736175495,54.54727108054035,1.1327237396827625,1.111817972979783,0.8769588015545431,0.19822247156255177,0.13634028222057645
"(1, 1, 1, 1, 7)",4000.0,eng,-1.0,1.0,0.45263157894736844,3.7011833866009507,463830.1074098013,12.694238499816482,1.1334779880679366,6,0.6719583357147164,18.389599999999994,30.759850338232784,0.0,37.33322886193639,2.4231813852679998e7,115231.41994195897,73985.07507019407,7925.758705331861,4342.225270385496,25767.533666542247,67.52522756053952,2496.678700538718,5698.921136476028,32944.06622123162,19723.012586674984,54.45273941103224,1.1322675058780822,1.109482689181521,0.8715307744891834,0.19668052338890518,0.13542521102289753
"(1, 1, 1, 1, 8)",4000.0,eng,-1.0,1.0,0.49473684210526314,3.690262776054193,463055.2912739751,12.663676477648565,1.1296690362220858,6,0.6690954085497398,18.389599999999994,30.734247375295695,0.0,37.317125089909595,2.416340761512716e7,115237.83188313902,73787.14851033974,7829.594825251722,4295.973151184761,25752.960740399994,67.7245700002562,2546.9573267929945,5688.278954875888,31207.684843806353,19670.630815446268,54.36212965561287,1.1318278634773045,1.1072487119568646,0.8663416582202367,0.1951889860293461,0.13453383828902568
"(1, 1, 1, 1, 9)",4000.0,eng,-1.0,1.0,0.5368421052631579,3.6797965136639856,462315.2237597521,12.634515374639854,1.1260192020718878,6,0.6663555225499852,18.389599999999994,30.70977207022716,0.0,37.30169637509199,2.4097847572673522e7,115246.77210368683,73597.86752689442,7737.06598504544,4251.113228926921,25738.99258822356,67.9504622731767,2598.161218339623,5678.096212734887,29484.435328343905,19620.518924795593,54.27558125859487,1.1314070922679285,1.105117865771251,0.8613836941508379,0.19374735141699417,0.13366577467010196
"(1, 1, 1, 1, 10)",4000.0,eng,-1.0,1.0,0.5789473684210527,3.6697576895779545,461607.1610902657,12.606643160285284,1.1225089242027941,6,0.6637311311642147,18.389599999999994,30.686336378853618,0.0,37.28685977006856,2.403497367460378e7,115258.06565896588,73416.5589463179,7647.953325950326,4207.559605384051,25725.552368353034,68.20082410572797,2650.2725147330557,5668.3351243704155,27773.489330218064,19572.504102860046,54.192773713141534,1.1310028651352044,1.103083125872777,0.8566451593019698,0.19235283830970487,0.13281962271930556
