index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,thetafloor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span
"(1, 9, 8, 10, 1, 1, 1, 7, 1, 1)",nacelle,2.54,10.1,1.0,2,0.2,0.0,0.0,0.0,false,4.937632317842295,784791.9573643759,24.99099529891953,1.0579970920058337,7,0.3612717540134557,8.2965587613012,28.956000000000014,5.120302522110916,35.93194752358538
"(1, 9, 8, 10, 1, 2, 1, 7, 1, 1)",nacelle,2.54,10.1,1.0,2,0.2361111111111111,0.0,0.0,0.0,false,4.946477300133489,785808.8781334622,25.0389442618101,1.0598469615949275,7,0.5175125990585971,8.301527368127326,28.956000000000014,5.123608482294835,35.955147244174285
"(1, 9, 8, 10, 1, 3, 1, 7, 1, 1)",nacelle,2.54,10.1,1.0,2,0.2722222222222222,0.0,0.0,0.0,false,4.957211786872763,787046.0140222008,25.097317129149772,1.0620919881407664,7,0.7107281379838738,8.30756753046152,28.956000000000014,5.127627422991908,35.98335033678532
"(1, 9, 8, 10, 1, 4, 1, 7, 1, 1)",nacelle,2.54,10.1,1.0,2,0.3,0.0,0.0,0.0,false,4.966899164585642,788165.2472128656,25.1501651813985,1.0641180103107768,7,0.8884270544759384,8.313027894878092,28.956000000000014,5.131260583751571,36.008846201765415
"(1, 9, 8, 10, 1, 5, 1, 7, 1, 1)",nacelle,2.54,10.1,1.0,2,0.30833333333333335,0.0,0.0,0.0,false,4.970069098481917,788532.0515410446,25.167492893921036,1.0647809662765584,7,0.9472518067559152,8.314816554199094,28.956000000000014,5.132450703377607,36.01719791843935
"(1, 9, 8, 10, 1, 6, 1, 7, 1, 1)",nacelle,2.54,10.1,1.0,2,0.34444444444444444,0.0,0.0,0.0,false,4.98534861076239,790303.9821311459,25.251253284212638,1.0679764936215064,7,1.2354088495063773,8.323451134337196,28.956000000000014,5.138195890940313,36.05751502414255
"(1, 9, 8, 10, 1, 7, 1, 7, 1, 1)",nacelle,2.54,10.1,1.0,2,0.38055555555555554,0.0,0.0,0.0,false,5.00343532782405,792409.6482982871,25.350907989160866,1.0717590515377733,7,1.5861985916863595,8.33369924259542,28.956000000000014,5.145014671143256,36.10536611328601
"(1, 9, 8, 10, 1, 8, 1, 7, 1, 1)",nacelle,2.54,10.1,1.0,2,0.4166666666666667,0.0,0.0,0.0,false,5.0248279930392865,794911.455664435,25.469477850519944,1.0762329291343273,7,2.0142919665620376,8.345857409495057,28.956000000000014,5.153104346395543,36.162135764179254
"(1, 9, 8, 10, 1, 9, 1, 7, 1, 1)",nacelle,2.54,10.1,1.0,2,0.4527777777777778,0.0,0.0,0.0,false,5.050180792485773,797891.9952113193,25.610973052547713,1.0815359722062925,7,2.5395191063278735,8.360316815671757,28.956000000000014,5.162725196419729,36.22965050119109
"(1, 9, 8, 10, 1, 10, 1, 7, 1, 1)",nacelle,2.54,10.1,1.0,2,0.4888888888888889,0.0,0.0,0.0,false,5.080359881200241,801461.350971568,25.78075904105212,1.0878490099592535,7,3.1891374432200283,8.377596792243764,28.956000000000014,5.174222768380092,36.310335216702406
